"Periodo";"Municipios";"Sexo";"Edad (grupos quinquenales)";"Valor"
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2761
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";2612
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2528
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";2032
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1204
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";639
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"De 90 o más";206
"1 de julio de 2022";"03133 - Torrevieja";"Hombres";"Total";42388
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1563
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";2111
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";2156
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";1960
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2121
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";2376
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";2968
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3343
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3458
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";1886
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";3381
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";3204
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";3077
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";2965
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";2775
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2316
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1513
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";865
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"De 90 o más";436
"1 de julio de 2022";"03133 - Torrevieja";"Mujeres";"Total";44476
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3360
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";4753
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";4808
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";4349
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";4578
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";5196
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";6068
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";6889
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";7409
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";4347
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";7120
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";6650
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";6160
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";5869
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";5406
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4530
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2769
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1567
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"De 90 o más";694
"1 de julio de 2023";"03133 - Torrevieja";"Ambos sexos";"Total";92519
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1717
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";2513
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";2426
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";2216
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2286
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";2585
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";2823
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3305
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3715
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";2223
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";3533
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";3210
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2884
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";2737
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2562
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";2118
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1206
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";649
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"De 90 o más";223
"1 de julio de 2023";"03133 - Torrevieja";"Hombres";"Total";44929
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1643
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";2240
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";2381
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";2133
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2292
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";2611
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";3245
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3584
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3694
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";2124
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";3586
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";3440
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";3277
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";3132
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";2844
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2412
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1563
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";918
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"De 90 o más";471
"1 de julio de 2023";"03133 - Torrevieja";"Mujeres";"Total";47589
