Estación;Fecha Toma;Cod. Parámetro;Nom. Parámetro;Unidades;Valor numérico;Valor texto;Coord. X;Coord. Y;Cod Masa;Nombre Masa;Municipio;Provincia;UH Geo;UH Geo Nombre;Acuifero;Profundidad;Nombre C.A
CA0748-SIC01;08/10/2019;AS;ARSENICO;µg/L As;0;< 5,0;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;ATRAZINA;ATRAZINA;µg/L;0;< 0,010;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;B;BORO;µg/L B;11000;1100;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;BENCENO;BENCENO;µg/L;0;< 1,0;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;BICARB;BICARBONATOS;mg/L HCO3-;3560;356;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;BIFEN;BIFENOX;µg/L;0;< 0,00200;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;BRB;BROMOBENCENO;µg/L;0;< 1,0;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;BRFOSETIL;BROMOFOS ETIL;µg/L;0;< 0,010;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CA;CALCIO;mg/L Ca;2210;221;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CD;CADMIO;µg/L Cd;0;< 0,02;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CIB;CIBUTRINA;µg/L;0;< 0,002;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CL;Cloruros;mg/L Cl;8890;889;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLF;Cloroformo (Triclorometano);µg/L;0;< 1,0;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLORDANOCIS;CIS-CLORDANO;µg/L;0;< 0,00025;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLORDANOTR;TRANS-CLORDANO;µg/L;0;< 0,00025;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLOROFENVINFOS;Clorfenvinfos;µg/L;0;< 0,010;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLOROPIRIFOS;Clorpirifos;µg/L;0;< 0,010;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLORPIRIPME;CLOROPIRIFOS-METIL;µg/L;0;< 0,010;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLTO2;4-CLOROTOLUENO;µg/L;0;< 1,0;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CLTOL;2-CLOROTOLUENO;µg/L;0;< 1,0;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
CA0748-SIC01;08/10/2019;CN;CIANUROS TOTALES;µg/L CN;0;<10;697202;4215493;70042;TERCIARIO DE TORREVIEJA;Algorfa;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;600;Comunidad Valenciana
