Playa;Fecha;E_Coli;Enterococo;Estado
CALA DE LAS PITERAS;20/06/2025;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;10/06/2025;9 UFC/100 mL;9 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;27/05/2025;9 UFC/100 mL;9 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;03/09/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;27/08/2024;1 UFC/100 mL;30 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;20/08/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;13/08/2024;8 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;06/08/2024;1 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;30/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;23/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;16/07/2024;2 UFC/100 mL;10 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;09/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;02/07/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;26/06/2024;2 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;18/06/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;11/06/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;04/06/2024;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;27/05/2024;18 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;12/09/2023;1 UFC/100 mL;20 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;05/09/2023;8 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;29/08/2023;4 UFC/100 mL;84 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;22/08/2023;1 UFC/100 mL;30 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;14/08/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;08/08/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;01/08/2023;16 UFC/100 mL;20 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;25/07/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;18/07/2023;1 UFC/100 mL;20 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;11/07/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;05/07/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;27/06/2023;14 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;21/06/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;13/06/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;06/06/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
CALA DE LAS PITERAS;18/05/2023;1 UFC/100 mL;1 NMP/100 mL;Zona Apta para el baño
