Fecha;Año;Mes;Temporada;Plazas;Plazas por vivienda turística;Viviendas turísticas
2020-08-01;2020;8;Verano;18279.0;4.76;3839.0
2021-02-01;2021;2;Invierno;16917.0;4.74;3571.0
2021-08-01;2021;8;Verano;16527.0;4.75;3476.0
2022-02-01;2022;2;Invierno;16100.0;4.74;3397.0
2022-08-01;2022;8;Verano;17349.0;4.72;3679.0
2023-02-01;2023;2;Invierno;17679.0;4.73;3740.0
2023-08-01;2023;8;Verano;21594.0;4.71;4580.0
2024-02-01;2024;2;Invierno;21022.0;4.72;4454.0
2024-08-01;2024;8;Verano;25488.0;4.71;5411.0
