Playa;Fecha;E_Coli (UFC/100 mL);Enterococo (NMP/100 mL);Estado
PLAYA DE LA MATA;2024-07-30;4.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-07-23;4.0;10.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-07-16;1.0;52.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-07-12;2.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-07-09;1.0;20.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-07-02;1.0;110.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-06-26;1.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-06-18;1.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-06-11;1.0;1.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-06-04;1.0;10.0;Zona Apta para el baño
PLAYA DE LA MATA;2024-05-27;1.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-09-09;24.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-09-02;7.0;31.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-08-26;52.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-08-19;4.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-08-12;21.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-08-08;5.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-08-05;18.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-07-29;8.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-07-22;3.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-07-15;8.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-07-08;5.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-07-01;8.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-06-20;1.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-06-10;31.0;9.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2025-05-27;63.0;52.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-09-03;2.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-08-27;19.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-08-20;5.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-08-13;22.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-08-06;47.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-07-30;31.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-07-23;30.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-07-16;7.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-07-09;13.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-07-02;1.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-06-26;7.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-06-18;1.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-06-11;2.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-06-04;1.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2024-05-27;4.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-09-12;31.0;31.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-09-05;14.0;30.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-08-29;4.0;41.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-08-22;1.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-08-14;80.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-08-08;5.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-08-01;11.0;30.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-07-25;5.0;61.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-07-18;3.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-07-11;37.0;96.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-07-05;48.0;20.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-06-27;3.0;10.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-06-21;15.0;120.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-06-13;3.0;1.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-06-06;190.0;110.0;Zona Apta para el baño
PLAYA DE LAS PISCINAS DEL PASEO;2023-05-18;20.0;130.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-09-09;1.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-09-02;8.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-08-26;3.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-08-19;7.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-08-12;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-08-05;11.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-07-29;12.0;84.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-07-22;8.0;30.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-07-15;13.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-07-08;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-07-01;11.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-06-20;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-06-10;9.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2025-05-27;9.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-09-03;16.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-08-27;3.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-08-20;1.0;20.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-08-13;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-08-06;4.0;86.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-07-30;6.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-07-23;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-07-16;4.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-07-09;2.0;10.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-07-02;11.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-06-26;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-06-18;3.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-06-11;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-06-04;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2024-05-27;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-09-12;4.0;31.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-09-05;5.0;52.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-08-29;9.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-08-22;16.0;52.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-08-14;1.0;20.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-08-08;7.0;20.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-08-01;25.0;20.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-07-25;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-07-18;1.0;20.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-07-11;2.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-07-05;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-06-27;1.0;1.0;Zona Apta para el baño
PLAYA DE LOS LOCOS;2023-06-21;1.0;85.0;Zona Apta para el baño
