Playa;Fecha;E_Coli (UFC/100 mL);Enterococo (NMP/100 mL);Estado
CALA DE LAS PITERAS;2024-07-09;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-07-02;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-06-26;2.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-06-18;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-06-11;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-06-04;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-05-27;18.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-09-12;1.0;20.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-09-05;8.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-08-29;4.0;84.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-08-22;1.0;30.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-08-14;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-08-08;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-08-01;16.0;20.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-07-25;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-07-18;1.0;20.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-07-11;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-07-05;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-06-27;14.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-06-21;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-06-13;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-06-06;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2023-05-18;1.0;1.0;Zona Apta para el baño
