Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2025M03;190
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2025M02;191
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2025M01;180
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M12;183
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M11;185
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M10;196
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M09;198
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M08;194
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M07;203
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M06;205
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M05;210
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M04;194
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M03;185
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M02;180
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024M01;172
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M12;169
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M11;183
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M10;189
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M09;189
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M08;179
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M07;198
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M06;197
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M05;192
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M04;180
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M03;177
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M02;170
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023M01;156
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M12;164
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M11;170
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M10;172
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M09;171
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M08;165
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M07;174
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M06;178
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M05;180
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M04;158
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M03;160
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M02;143
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022M01;133
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M12;138
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M11;146
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M10;142
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M09;141
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M08;139
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M07;150
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M06;155
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M05;136
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M04;136
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M03;125
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M02;127
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021M01;120
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M12;119
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M11;125
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M10;109
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M09;108
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M08;122
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M07;131
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M06;114
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M05;0
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M04;0
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M03;157
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M02;160
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020M01;151
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M12;161
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M11;163
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M10;159
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M09;154
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M08;150
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M07;162
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M06;164
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M05;167
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M04;158
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M03;152
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M02;150
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019M01;146
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M12;147
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M11;156
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M10;149
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M09;146
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M08;141
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M07;156
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M06;152
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M05;150
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M04;145
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M03;142
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M02;142
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018M01;136
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2026M02;6,51
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2026M01;7,31
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M12;7,18
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M11;7,03
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M10;6,57
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M09;6,58
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M08;7,16
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M07;6,92
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M06;6,15
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M05;5,87
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M04;6,35
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M03;7,29
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M02;7,03
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025M01;7,82
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M12;7,44
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M11;7,38
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M10;6,62
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M09;6,62
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M08;7,30
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M07;7,03
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M06;6,30
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M05;5,80
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M04;6,29
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M03;7,32
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M02;7,39
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024M01;7,83
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M12;7,68
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M11;7,00
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M10;6,58
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M09;6,67
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M08;7,48
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M07;6,92
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M06;6,43
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M05;6,00
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M04;6,46
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M03;7,14
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M02;7,27
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023M01;8,08
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M12;7,37
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M11;7,25
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M10;6,69
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M09;6,80
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M08;7,73
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M07;7,52
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M06;6,63
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M05;6,37
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M04;7,10
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M03;7,93
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M02;8,29
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022M01;9,26
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M12;8,41
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M11;7,68
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M10;7,68
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M09;7,62
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M08;8,13
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M07;7,90
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M06;6,80
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M05;7,36
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M04;8,44
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M03;9,55
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M02;9,56
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021M01;9,81
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M12;9,40
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M11;8,83
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M10;7,80
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M09;8,06
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M08;8,38
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M07;7,74
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M06;5,80
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M05;0,00
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M04;0,00
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M03;7,12
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M02;6,72
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020M01;7,66
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M12;6,96
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M11;6,59
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M10;6,86
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M09;7,09
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M08;7,79
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M07;7,46
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M06;6,63
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M05;6,18
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M04;6,26
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M03;7,13
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M02;7,10
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019M01;7,66
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M12;7,50
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M11;6,98
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M10;7,16
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M09;7,35
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M08;8,08
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M07;7,53
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M06;7,09
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M05;6,68
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M04;6,69
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M03;7,57
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M02;7,50
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018M01;7,98
Negocio, motivos profesionales;Gasto total;Dato base;2026M02;539,42
Negocio, motivos profesionales;Gasto total;Dato base;2026M01;512,31
Negocio, motivos profesionales;Gasto total;Dato base;2025M12;378,03
Negocio, motivos profesionales;Gasto total;Dato base;2025M11;514,28
Negocio, motivos profesionales;Gasto total;Dato base;2025M10;1.061,65
Negocio, motivos profesionales;Gasto total;Dato base;2025M09;670,33
Negocio, motivos profesionales;Gasto total;Dato base;2025M08;325,66
Negocio, motivos profesionales;Gasto total;Dato base;2025M07;567,58
Negocio, motivos profesionales;Gasto total;Dato base;2025M06;771,77
Negocio, motivos profesionales;Gasto total;Dato base;2025M05;794,03
Negocio, motivos profesionales;Gasto total;Dato base;2025M04;510,22
Negocio, motivos profesionales;Gasto total;Dato base;2025M03;776,33
Negocio, motivos profesionales;Gasto total;Dato base;2025M02;510,96
Negocio, motivos profesionales;Gasto total;Dato base;2025M01;320,65
Negocio, motivos profesionales;Gasto total;Dato base;2024M12;391,00
Negocio, motivos profesionales;Gasto total;Dato base;2024M11;597,37
Negocio, motivos profesionales;Gasto total;Dato base;2024M10;955,75
Negocio, motivos profesionales;Gasto total;Dato base;2024M09;731,08
Negocio, motivos profesionales;Gasto total;Dato base;2024M08;222,92
Negocio, motivos profesionales;Gasto total;Dato base;2024M07;451,59
Negocio, motivos profesionales;Gasto total;Dato base;2024M06;801,10
Negocio, motivos profesionales;Gasto total;Dato base;2024M05;727,40
Negocio, motivos profesionales;Gasto total;Dato base;2024M04;642,84
Negocio, motivos profesionales;Gasto total;Dato base;2024M03;627,27
Negocio, motivos profesionales;Gasto total;Dato base;2024M02;609,27
Negocio, motivos profesionales;Gasto total;Dato base;2024M01;352,13
Negocio, motivos profesionales;Gasto total;Dato base;2023M12;442,56
Negocio, motivos profesionales;Gasto total;Dato base;2023M11;650,11
Negocio, motivos profesionales;Gasto total;Dato base;2023M10;867,33
Negocio, motivos profesionales;Gasto total;Dato base;2023M09;654,74
Negocio, motivos profesionales;Gasto total;Dato base;2023M08;239,17
Negocio, motivos profesionales;Gasto total;Dato base;2023M07;503,01
Negocio, motivos profesionales;Gasto total;Dato base;2023M06;632,65
Negocio, motivos profesionales;Gasto total;Dato base;2023M05;577,52
Negocio, motivos profesionales;Gasto total;Dato base;2023M04;499,96
Negocio, motivos profesionales;Gasto total;Dato base;2023M03;629,30
Negocio, motivos profesionales;Gasto total;Dato base;2023M02;452,21
Negocio, motivos profesionales;Gasto total;Dato base;2023M01;303,89
Negocio, motivos profesionales;Gasto total;Dato base;2022M12;360,97
Negocio, motivos profesionales;Gasto total;Dato base;2022M11;540,07
Negocio, motivos profesionales;Gasto total;Dato base;2022M10;716,31
Negocio, motivos profesionales;Gasto total;Dato base;2022M09;610,93
Negocio, motivos profesionales;Gasto total;Dato base;2022M08;302,97
Negocio, motivos profesionales;Gasto total;Dato base;2022M07;376,74
Negocio, motivos profesionales;Gasto total;Dato base;2022M06;556,01
Negocio, motivos profesionales;Gasto total;Dato base;2022M05;632,40
Negocio, motivos profesionales;Gasto total;Dato base;2022M04;508,61
Negocio, motivos profesionales;Gasto total;Dato base;2022M03;457,79
Negocio, motivos profesionales;Gasto total;Dato base;2022M02;262,11
Negocio, motivos profesionales;Gasto total;Dato base;2022M01;143,82
Negocio, motivos profesionales;Gasto total;Dato base;2021M12;245,63
Negocio, motivos profesionales;Gasto total;Dato base;2021M11;300,45
Negocio, motivos profesionales;Gasto total;Dato base;2021M10;297,24
Negocio, motivos profesionales;Gasto total;Dato base;2021M09;251,21
Negocio, motivos profesionales;Gasto total;Dato base;2021M08;136,74
Negocio, motivos profesionales;Gasto total;Dato base;2021M07;217,81
Negocio, motivos profesionales;Gasto total;Dato base;2021M06;239,15
Negocio, motivos profesionales;Gasto total;Dato base;2021M05;190,18
Negocio, motivos profesionales;Gasto total;Dato base;2021M04;113,07
Negocio, motivos profesionales;Gasto total;Dato base;2021M03;121,35
Negocio, motivos profesionales;Gasto total;Dato base;2021M02;70,48
Negocio, motivos profesionales;Gasto total;Dato base;2021M01;51,27
Negocio, motivos profesionales;Gasto total;Dato base;2020M12;104,03
Negocio, motivos profesionales;Gasto total;Dato base;2020M11;85,62
Negocio, motivos profesionales;Gasto total;Dato base;2020M10;81,90
Negocio, motivos profesionales;Gasto total;Dato base;2020M09;63,66
Negocio, motivos profesionales;Gasto total;Dato base;2020M08;56,96
Negocio, motivos profesionales;Gasto total;Dato base;2020M07;103,33
Negocio, motivos profesionales;Gasto total;Dato base;2020M06;10,33
Negocio, motivos profesionales;Gasto total;Dato base;2020M05;0,00
Negocio, motivos profesionales;Gasto total;Dato base;2020M04;0,00
Negocio, motivos profesionales;Gasto total;Dato base;2020M03;135,21
Negocio, motivos profesionales;Gasto total;Dato base;2020M02;347,78
Negocio, motivos profesionales;Gasto total;Dato base;2020M01;407,82
Negocio, motivos profesionales;Gasto total;Dato base;2019M12;488,32
Negocio, motivos profesionales;Gasto total;Dato base;2019M11;571,34
Negocio, motivos profesionales;Gasto total;Dato base;2019M10;684,49
Negocio, motivos profesionales;Gasto total;Dato base;2019M09;565,39
Negocio, motivos profesionales;Gasto total;Dato base;2019M08;222,51
Negocio, motivos profesionales;Gasto total;Dato base;2019M07;540,57
Negocio, motivos profesionales;Gasto total;Dato base;2019M06;655,14
Negocio, motivos profesionales;Gasto total;Dato base;2019M05;600,58
Negocio, motivos profesionales;Gasto total;Dato base;2019M04;450,32
Negocio, motivos profesionales;Gasto total;Dato base;2019M03;518,21
Negocio, motivos profesionales;Gasto total;Dato base;2019M02;398,25
Negocio, motivos profesionales;Gasto total;Dato base;2019M01;346,93
Negocio, motivos profesionales;Gasto total;Dato base;2018M12;416,35
Negocio, motivos profesionales;Gasto total;Dato base;2018M11;479,36
Negocio, motivos profesionales;Gasto total;Dato base;2018M10;592,17
Negocio, motivos profesionales;Gasto total;Dato base;2018M09;526,93
Negocio, motivos profesionales;Gasto total;Dato base;2018M08;181,46
Negocio, motivos profesionales;Gasto total;Dato base;2018M07;412,13
Negocio, motivos profesionales;Gasto total;Dato base;2018M06;531,63
Negocio, motivos profesionales;Gasto total;Dato base;2018M05;471,43
Negocio, motivos profesionales;Gasto total;Dato base;2018M04;528,46
Negocio, motivos profesionales;Gasto total;Dato base;2018M03;588,19
Negocio, motivos profesionales;Gasto total;Dato base;2018M02;445,00
Negocio, motivos profesionales;Gasto total;Dato base;2018M01;274,61
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2026M02;1.417
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2026M01;1.558
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M12;1.303
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M11;1.186
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M10;1.968
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M09;1.352
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M08;1.884
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M07;1.701
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M06;1.443
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M05;1.338
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M04;1.325
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M03;1.373
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M02;1.260
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2025M01;1.307
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M12;1.361
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M11;1.288
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M10;1.820
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M09;1.287
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M08;1.458
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M07;1.333
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M06;1.385
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M05;1.397
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M04;1.243
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M03;1.227
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M02;1.330
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2024M01;1.552
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M12;1.580
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M11;1.493
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M10;1.429
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M09;1.314
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M08;1.556
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M07;1.480
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M06;1.250
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M05;1.250
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M04;1.202
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M03;1.335
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M02;1.164
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2023M01;1.137
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M12;1.276
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M11;1.272
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M10;1.297
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M09;1.244
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M08;1.315
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M07;1.264
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M06;1.292
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M05;1.166
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M04;1.219
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M03;1.251
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M02;1.153
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2022M01;969
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M12;1.114
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M11;1.192
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M10;1.024
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M09;981
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M08;1.236
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M07;1.198
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M06;1.257
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M05;1.054
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M04;847
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M03;903
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M02;1.068
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2021M01;851
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M12;1.009
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M11;1.057
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M10;1.162
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M09;850
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M08;1.244
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M07;1.061
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M06;815
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M05;0
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M04;0
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M03;986
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M02;983
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2020M01;1.102
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M12;1.269
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M11;1.166
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M10;1.185
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M09;1.100
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M08;1.191
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M07;1.270
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M06;1.112
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M05;1.102
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M04;1.023
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M03;1.064
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M02;934
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2019M01;1.014
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M12;1.297
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M11;1.077
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M10;1.126
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M09;1.039
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M08;1.098
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M07;1.223
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M06;1.080
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M05;1.115
Negocio, motivos profesionales;Gasto medio por persona;Dato base;2018M04;1.028
