Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2012;6.973
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2011;7.019
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2010;7.087
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2009;7.218
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2008;7.273
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2007;6.771
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2006;6.479
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2005;5.747
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2004;5.275
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2003;5.080
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2022;26.021
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2021;25.720
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2020;26.377
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2019;26.191
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2018;26.118
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2017;26.665
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2016;27.459
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2015;28.740
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2014;29.476
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2013;32.626
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2012;32.353
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2011;32.062
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2010;32.413
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2009;33.461
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2008;34.231
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2007;31.881
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2006;32.093
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2005;29.351
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2004;26.066
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2003;25.696
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2022;8.918
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2021;8.867
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2020;8.960
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2019;8.725
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2018;8.584
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2017;8.434
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2016;8.297
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2015;9.097
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2014;9.962
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2013;13.395
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2012;12.945
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2011;12.365
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2010;11.661
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2009;11.102
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2008;10.531
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2007;9.710
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2006;9.142
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2005;8.342
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2004;7.368
Hombres;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2003;8.739
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2022;24.426
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2021;24.259
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2020;24.443
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2019;24.739
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2018;24.999
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2017;25.058
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2016;24.954
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2015;24.958
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2014;24.606
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2013;24.217
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2012;24.038
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2011;23.895
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2010;23.547
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2009;23.380
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2008;23.333
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2007;22.954
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2006;22.725
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2005;21.917
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2004;21.365
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2003;20.791
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2022;3.843
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2021;3.870
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2020;3.936
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2019;4.070
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2018;4.192
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2017;4.239
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2016;4.307
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2015;4.283
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2014;4.188
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2013;4.156
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2012;4.087
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2011;4.140
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2010;4.057
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2009;4.082
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2008;4.134
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2007;4.060
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2006;4.015
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2005;3.707
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2004;3.643
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2003;3.514
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2022;15.168
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2021;14.983
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2020;15.076
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2019;15.266
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2018;15.419
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2017;15.481
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2016;15.344
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2015;15.379
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2014;15.114
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2013;14.930
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2012;14.888
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2011;14.774
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2010;14.672
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2009;14.650
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2008;14.718
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2007;14.560
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2006;14.450
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2005;14.134
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2004;13.762
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2003;13.452
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2022;5.415
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2021;5.406
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2020;5.431
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2019;5.403
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2018;5.388
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2017;5.338
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2016;5.303
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2015;5.296
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2014;5.304
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2013;5.131
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2012;5.063
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2011;4.981
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2010;4.818
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2009;4.648
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2008;4.481
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2007;4.334
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2006;4.260
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2005;4.076
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2004;3.960
Hombres;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2003;3.825
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2022;16.597
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2021;16.462
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2020;17.274
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2019;16.530
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2018;16.039
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2017;16.469
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2016;17.348
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2015;19.568
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2014;21.483
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2013;28.810
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2012;28.233
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2011;27.551
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2010;27.614
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2009;28.401
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2008;28.702
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2007;25.408
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2006;24.989
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2005;21.523
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2004;17.344
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2003;18.724
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2022;2.241
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2021;2.264
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2020;2.444
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2019;2.283
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2018;2.144
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2017;2.189
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2016;2.239
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2015;2.406
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2014;2.463
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2013;2.850
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2012;2.886
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2011;2.879
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2010;3.030
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2009;3.136
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2008;3.139
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2007;2.711
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2006;2.464
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2005;2.040
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2004;1.632
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2003;1.566
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2022;10.853
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2021;10.737
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2020;11.301
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2019;10.925
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2018;10.699
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2017;11.184
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2016;12.115
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2015;13.361
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2014;14.362
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2013;17.696
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2012;17.465
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2011;17.288
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2010;17.741
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2009;18.811
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2008;19.513
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2007;17.321
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2006;17.643
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2005;15.217
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2004;12.304
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2003;12.244
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2022;3.503
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2021;3.461
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2020;3.529
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2019;3.322
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2018;3.196
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2017;3.096
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2016;2.994
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2015;3.801
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2014;4.658
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2013;8.264
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2012;7.882
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2011;7.384
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2010;6.843
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2009;6.454
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2008;6.050
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2007;5.376
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2006;4.882
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2005;4.266
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2004;3.408
Hombres;03 Alicante/Alacant;03133 Torrevieja;Extranjera;65 y más años;1 de enero de 2003;4.914
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2022;42.524
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2021;42.121
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2020;42.950
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2019;42.068
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2018;41.561
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2017;41.725
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2016;41.911
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2015;43.921
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2014;45.326
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2013;52.178
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2012;51.449
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2011;50.690
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2010;49.930
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2009;50.011
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2008;49.346
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2007;45.644
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2006;44.320
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2005;40.908
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2004;36.821
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Todas las edades;1 de enero de 2003;38.428
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2022;5.669
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2021;5.667
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2020;5.873
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2019;5.871
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2018;5.918
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2017;5.970
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2016;5.990
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2015;6.210
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2014;6.207
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2013;6.567
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2012;6.514
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2011;6.602
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2010;6.605
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2009;6.697
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2008;6.690
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2007;6.187
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2006;5.917
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2005;5.381
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2004;4.998
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;Menos de 16 años;1 de enero de 2003;4.781
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2022;26.375
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2021;26.047
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2020;26.575
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2019;25.981
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2018;25.686
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2017;26.024
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2016;26.454
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2015;27.437
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2014;28.097
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2013;31.397
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2012;31.427
Mujeres;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2011;31.290
