Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Total;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2008;66.365
Total;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2007;61.653
Total;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2006;61.353
Total;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2005;56.589
Total;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2004;50.703
Total;03 Alicante/Alacant;03133 Torrevieja;Total;De 16 a 64 años;1 de enero de 2003;50.826
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2022;19.398
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2021;19.274
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2020;19.462
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2019;18.941
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2018;18.541
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2017;18.165
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2016;17.764
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2015;19.371
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2014;20.984
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2013;27.609
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2012;26.453
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2011;25.163
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2010;23.653
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2009;22.426
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2008;21.053
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2007;19.395
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2006;18.285
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2005;16.631
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2004;14.554
Total;03 Alicante/Alacant;03133 Torrevieja;Total;65 y más años;1 de enero de 2003;17.256
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2022;49.586
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2021;49.255
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2020;49.602
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2019;50.130
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2018;50.566
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2017;50.634
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2016;50.548
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2015;50.604
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2014;49.981
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2013;49.216
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2012;48.851
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2011;48.566
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2010;47.759
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2009;47.465
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2008;47.099
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2007;46.227
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2006;45.697
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2005;44.160
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2004;42.989
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Todas las edades;1 de enero de 2003;41.852
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2022;7.362
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2021;7.391
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2020;7.506
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2019;7.830
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2018;8.089
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2017;8.147
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2016;8.248
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2015;8.274
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2014;8.114
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2013;8.085
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2012;7.958
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2011;8.057
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2010;7.924
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2009;7.922
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2008;7.953
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2007;7.851
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2006;7.754
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2005;7.261
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2004;7.138
Total;03 Alicante/Alacant;03133 Torrevieja;Española;Menos de 16 años;1 de enero de 2003;6.895
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2022;30.131
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2021;29.788
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2020;29.979
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2019;30.273
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2018;30.554
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2017;30.686
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2016;30.586
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2015;30.672
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2014;30.248
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2013;29.919
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2012;29.912
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2011;29.706
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2010;29.428
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2009;29.494
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2008;29.516
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2007;29.047
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2006;28.789
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2005;28.167
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2004;27.476
Total;03 Alicante/Alacant;03133 Torrevieja;Española;De 16 a 64 años;1 de enero de 2003;26.913
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2022;12.093
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2021;12.076
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2020;12.117
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2019;12.027
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2018;11.923
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2017;11.801
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2016;11.714
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2015;11.658
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2014;11.619
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2013;11.212
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2012;10.981
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2011;10.803
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2010;10.407
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2009;10.049
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2008;9.630
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2007;9.329
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2006;9.154
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2005;8.732
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2004;8.375
Total;03 Alicante/Alacant;03133 Torrevieja;Española;65 y más años;1 de enero de 2003;8.044
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2022;33.961
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2021;33.587
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2020;35.065
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2019;33.207
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2018;32.033
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2017;32.618
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2016;33.665
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2015;37.843
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2014;41.434
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2013;55.989
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2012;54.869
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2011;53.570
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2010;53.332
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2009;54.327
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2008;54.282
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2007;47.779
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2006;46.337
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2005;40.188
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2004;32.541
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Todas las edades;1 de enero de 2003;36.091
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2022;4.391
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2021;4.410
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2020;4.747
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2019;4.394
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2018;4.165
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2017;4.251
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2016;4.288
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2015;4.625
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2014;4.744
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2013;5.488
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2012;5.529
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2011;5.564
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2010;5.768
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2009;5.993
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2008;6.010
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2007;5.107
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2006;4.642
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2005;3.867
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2004;3.135
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;Menos de 16 años;1 de enero de 2003;2.966
Total;03 Alicante/Alacant;03133 Torrevieja;Extranjera;De 16 a 64 años;1 de enero de 2022;22.265
