;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2025;1;Andalucía;4;Almería;04001;Abla;74;5;7;28;<5;14;19;10;<5;6;49;6
Enero de 2025;1;Andalucía;4;Almería;04002;Abrucena;55;<5;6;18;<5;14;12;5;<5;6;31;9
Enero de 2025;1;Andalucía;4;Almería;04003;Adra;1516;72;208;322;60;357;497;244;52;136;931;153
Enero de 2025;1;Andalucía;4;Almería;04004;Albánchez;19;<5;0;8;<5;<5;5;0;<5;<5;12;<5
Enero de 2025;1;Andalucía;4;Almería;04005;Alboloduy;25;<5;<5;8;<5;6;5;<5;<5;5;12;<5
Enero de 2025;1;Andalucía;4;Almería;04006;Albox;704;34;105;139;35;178;213;43;53;81;442;85
Enero de 2025;1;Andalucía;4;Almería;04007;Alcolea;54;<5;6;17;<5;14;14;11;<5;<5;37;<5
Enero de 2025;1;Andalucía;4;Almería;04008;Alcántar;17;<5;0;7;<5;<5;<5;<5;<5;0;11;<5
Enero de 2025;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;5;0;0;<5;0;<5;<5;0;<5;0;<5;<5
Enero de 2025;1;Andalucía;4;Almería;04010;Alhabia;62;<5;13;18;6;15;9;5;<5;17;31;8
Enero de 2025;1;Andalucía;4;Almería;04011;Alhama de Almería;291;11;49;65;10;63;93;24;28;26;188;25
Enero de 2025;1;Andalucía;4;Almería;04012;Alicán;14;0;<5;<5;0;<5;8;0;<5;<5;10;<5
Enero de 2025;1;Andalucía;4;Almería;04013;Almería;16396;688;2570;3645;669;3742;5082;858;463;1577;11148;2350
Enero de 2025;1;Andalucía;4;Almería;04014;Almócita;13;0;<5;<5;0;<5;8;<5;0;<5;8;0
Enero de 2025;1;Andalucía;4;Almería;04015;Alsodux;8;0;<5;<5;<5;<5;<5;0;<5;0;6;<5
Enero de 2025;1;Andalucía;4;Almería;04016;Antas;158;0;21;26;6;40;65;21;<5;6;111;18
Enero de 2025;1;Andalucía;4;Almería;04017;Arboleas;109;7;18;31;<5;18;31;9;9;14;62;15
Enero de 2025;1;Andalucía;4;Almería;04018;Armuía de Almanzora;20;<5;<5;5;0;5;5;<5;<5;0;15;<5
Enero de 2025;1;Andalucía;4;Almería;04019;Bacares;7;0;<5;0;0;<5;<5;<5;0;0;<5;<5
Enero de 2025;1;Andalucía;4;Almería;04020;Bayórcal;17;<5;<5;7;0;<5;7;<5;0;<5;14;0
Enero de 2025;1;Andalucía;4;Almería;04021;Bayarque;9;<5;0;<5;0;<5;5;0;<5;<5;7;0
Enero de 2025;1;Andalucía;4;Almería;04022;Bódar;32;0;5;14;0;<5;11;0;<5;<5;27;<5
Enero de 2025;1;Andalucía;4;Almería;04023;Beires;10;0;0;6;0;<5;<5;0;0;<5;9;0
Enero de 2025;1;Andalucía;4;Almería;04024;Benahadux;305;17;36;62;10;83;97;11;15;21;224;34
Enero de 2025;1;Andalucía;4;Almería;04026;Benitagla;<5;<5;<5;<5;0;0;0;<5;0;0;<5;0
Enero de 2025;1;Andalucía;4;Almería;04027;Benizalán;14;0;0;5;<5;<5;6;<5;0;<5;12;0
Enero de 2025;1;Andalucía;4;Almería;04028;Bentarique;13;<5;<5;<5;0;<5;5;<5;<5;0;9;0
Enero de 2025;1;Andalucía;4;Almería;04029;Berja;870;29;144;226;31;217;223;188;25;108;474;75
Enero de 2025;1;Andalucía;4;Almería;04030;Canjóyar;81;<5;10;32;<5;16;19;13;<5;12;50;5
Enero de 2025;1;Andalucía;4;Almería;04031;Cantoria;193;7;27;44;6;34;75;10;20;23;120;20
Enero de 2025;1;Andalucía;4;Almería;04032;Carboneras;452;25;73;91;15;99;149;24;33;38;315;42
Enero de 2025;1;Andalucía;4;Almería;04033;Castro de Filabres;5;0;<5;0;0;<5;<5;0;0;0;5;0
Enero de 2025;1;Andalucía;4;Almería;04034;Cóbdar;9;0;<5;<5;0;<5;<5;<5;<5;<5;5;0
Enero de 2025;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;849;41;143;172;44;210;239;104;28;85;563;69
Enero de 2025;1;Andalucía;4;Almería;04036;Chercos;14;<5;<5;<5;<5;5;<5;<5;<5;<5;8;<5
Enero de 2025;1;Andalucía;4;Almería;04037;Chirivel;67;17;9;20;0;9;12;<5;<5;<5;39;18
Enero de 2025;1;Andalucía;4;Almería;04038;Dalías;184;6;21;58;<5;42;55;35;6;23;106;14
Enero de 2025;1;Andalucía;4;Almería;04041;Enix;24;<5;6;8;0;<5;5;<5;<5;<5;15;<5
Enero de 2025;1;Andalucía;4;Almería;04043;Felix;28;0;<5;17;<5;<5;6;<5;<5;<5;19;<5
Enero de 2025;1;Andalucía;4;Almería;04044;Fines;171;5;23;38;6;38;61;5;33;12;104;17
Enero de 2025;1;Andalucía;4;Almería;04045;Fiíana;117;5;13;40;<5;30;26;21;11;7;69;9
Enero de 2025;1;Andalucía;4;Almería;04046;Fondán;54;<5;6;20;<5;5;19;6;7;5;34;<5
Enero de 2025;1;Andalucía;4;Almería;04047;Gódor;323;18;49;69;12;92;83;28;22;35;190;48
Enero de 2025;1;Andalucía;4;Almería;04048;Gallardos, Los;99;<5;10;18;<5;26;37;8;7;12;59;13
Enero de 2025;1;Andalucía;4;Almería;04049;Garrucha;640;32;95;123;20;146;224;19;18;46;507;50
Enero de 2025;1;Andalucía;4;Almería;04050;Górgal;67;5;8;21;<5;14;15;15;<5;7;33;9
Enero de 2025;1;Andalucía;4;Almería;04051;Huócija;26;<5;9;5;0;5;6;<5;0;<5;22;<5
Enero de 2025;1;Andalucía;4;Almería;04052;Huórcal de Almería;1364;92;178;276;57;313;448;23;50;108;1036;147
Enero de 2025;1;Andalucía;4;Almería;04053;Huórcal-Overa;1034;66;150;221;41;259;297;110;82;94;631;117
Enero de 2025;1;Andalucía;4;Almería;04054;Illar;28;<5;<5;7;0;<5;12;<5;<5;0;21;<5
Enero de 2025;1;Andalucía;4;Almería;04055;Instincián;32;<5;<5;16;<5;<5;11;0;0;7;24;<5
Enero de 2025;1;Andalucía;4;Almería;04056;Laroya;14;<5;<5;<5;0;<5;6;0;<5;<5;11;<5
Enero de 2025;1;Andalucía;4;Almería;04057;Líujar de Andarax;98;<5;11;25;6;13;41;9;9;9;65;6
Enero de 2025;1;Andalucía;4;Almería;04058;Lójar;23;0;<5;5;<5;6;6;0;5;<5;17;0
Enero de 2025;1;Andalucía;4;Almería;04059;Lubrán;61;9;9;23;0;9;11;<5;6;14;23;16
Enero de 2025;1;Andalucía;4;Almería;04060;Lucainena de las Torres;42;0;<5;12;<5;5;20;6;0;<5;30;<5
Enero de 2025;1;Andalucía;4;Almería;04061;Lócar;51;<5;<5;8;<5;11;22;6;6;7;29;<5
Enero de 2025;1;Andalucía;4;Almería;04062;Macael;403;19;58;76;8;77;165;10;97;21;238;37
Enero de 2025;1;Andalucía;4;Almería;04063;María;40;<5;6;12;<5;5;14;7;6;<5;22;<5
Enero de 2025;1;Andalucía;4;Almería;04064;Mojócar;267;10;21;61;10;48;117;<5;7;14;223;19
Enero de 2025;1;Andalucía;4;Almería;04065;Nacimiento;19;0;<5;5;<5;<5;9;<5;<5;0;14;0
Enero de 2025;1;Andalucía;4;Almería;04066;Nójar;1437;66;253;327;51;363;377;393;48;73;730;193
Enero de 2025;1;Andalucía;4;Almería;04067;Ohanes;45;0;6;21;<5;7;10;<5;<5;<5;34;<5
Enero de 2025;1;Andalucía;4;Almería;04068;Olula de Castro;7;0;0;5;0;<5;<5;<5;<5;<5;<5;0
Enero de 2025;1;Andalucía;4;Almería;04069;Olula del Río;547;18;68;114;24;132;191;31;75;37;347;57
Enero de 2025;1;Andalucía;4;Almería;04070;Oria;79;5;13;19;<5;13;28;7;9;6;50;7
Enero de 2025;1;Andalucía;4;Almería;04071;Padules;20;<5;<5;7;<5;<5;5;<5;<5;<5;14;0
Enero de 2025;1;Andalucía;4;Almería;04072;Partaloa;18;<5;6;<5;0;5;<5;0;<5;<5;7;5
Enero de 2025;1;Andalucía;4;Almería;04073;Paterna del Río;28;<5;5;7;0;<5;12;<5;<5;0;23;<5
Enero de 2025;1;Andalucía;4;Almería;04074;Pechina;399;17;67;87;25;83;120;37;10;39;257;56
Enero de 2025;1;Andalucía;4;Almería;04075;Pulpó;301;19;36;57;16;82;91;60;16;23;172;30
Enero de 2025;1;Andalucía;4;Almería;04076;Purchena;87;<5;17;20;5;20;21;6;15;5;53;8
Enero de 2025;1;Andalucía;4;Almería;04077;Rógol;9;0;<5;<5;0;0;<5;<5;0;<5;5;0
Enero de 2025;1;Andalucía;4;Almería;04078;Rioja;173;10;25;38;5;34;61;20;<5;18;120;13
Enero de 2025;1;Andalucía;4;Almería;04079;Roquetas de Mar;6453;285;964;1384;211;1505;2104;654;177;672;4245;705
Enero de 2025;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;16;0;<5;6;0;<5;7;<5;<5;<5;11;0
Enero de 2025;1;Andalucía;4;Almería;04081;Santa Fe de Mondójar;45;7;<5;11;<5;9;11;6;<5;5;23;7
Enero de 2025;1;Andalucía;4;Almería;04082;Senés;23;<5;<5;11;0;<5;8;<5;0;<5;18;<5
Enero de 2025;1;Andalucía;4;Almería;04083;Serán;98;6;9;24;<5;19;38;<5;12;7;67;10
Enero de 2025;1;Andalucía;4;Almería;04084;Sierro;26;<5;8;9;0;<5;5;<5;5;<5;14;<5
Enero de 2025;1;Andalucía;4;Almería;04085;Somontán;17;0;<5;6;0;<5;5;0;<5;<5;12;0
Enero de 2025;1;Andalucía;4;Almería;04086;Sorbas;172;5;23;47;8;40;49;22;7;19;107;17
Enero de 2025;1;Andalucía;4;Almería;04087;Sufló;18;0;<5;5;<5;<5;7;0;<5;<5;11;<5
Enero de 2025;1;Andalucía;4;Almería;04088;Tabernas;284;13;43;83;18;55;72;26;16;38;180;24
Enero de 2025;1;Andalucía;4;Almería;04089;Taberno;39;<5;6;10;<5;11;9;<5;6;7;22;<5
Enero de 2025;1;Andalucía;4;Almería;04090;Tahal;20;<5;<5;8;0;<5;6;5;<5;<5;12;0
Enero de 2025;1;Andalucía;4;Almería;04091;Terque;29;0;5;5;0;5;14;<5;5;<5;16;<5
Enero de 2025;1;Andalucía;4;Almería;04092;Tójola;235;6;35;50;9;69;66;24;24;19;145;23
Enero de 2025;1;Andalucía;4;Almería;04093;Turre;247;11;39;62;11;52;72;10;8;37;164;28
Enero de 2025;1;Andalucía;4;Almería;04094;Turrillas;7;<5;0;<5;<5;<5;<5;0;0;0;7;0
Enero de 2025;1;Andalucía;4;Almería;04095;Uleila del Campo;52;<5;5;15;<5;8;20;<5;<5;7;35;<5
Enero de 2025;1;Andalucía;4;Almería;04096;Urrócal;18;0;<5;5;<5;<5;8;<5;<5;<5;11;<5
Enero de 2025;1;Andalucía;4;Almería;04097;Velefique;12;0;<5;6;0;<5;<5;<5;0;<5;8;0
Enero de 2025;1;Andalucía;4;Almería;04098;Vélez-Blanco;76;<5;16;20;<5;17;20;6;6;7;53;<5
Enero de 2025;1;Andalucía;4;Almería;04099;Vélez-Rubio;327;16;41;75;11;94;90;25;36;36;206;24
Enero de 2025;1;Andalucía;4;Almería;04100;Vera;1124;51;174;255;53;235;356;68;43;92;808;113
Enero de 2025;1;Andalucía;4;Almería;04101;Viator;451;14;70;89;15;135;128;20;16;38;328;49
Enero de 2025;1;Andalucía;4;Almería;04102;Vócar;1530;81;286;317;75;360;411;246;40;132;892;220
Enero de 2025;1;Andalucía;4;Almería;04103;Zurgena;155;10;20;49;10;31;35;12;7;27;90;19
Enero de 2025;1;Andalucía;4;Almería;04901;Tres Villas, Las;22;0;<5;7;0;<5;7;<5;<5;<5;12;<5
Enero de 2025;1;Andalucía;4;Almería;04902;Ejido, El;4145;182;624;821;169;1052;1297;811;114;281;2441;498
Enero de 2025;1;Andalucía;4;Almería;04903;Mojonera, La;343;19;64;78;18;75;89;83;12;38;161;49
Enero de 2025;1;Andalucía;4;Almería;04904;Balanegra;127;5;28;25;<5;31;37;26;<5;<5;77;16
Enero de 2025;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;572;16;69;104;33;140;210;43;23;51;411;44
Enero de 2025;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;271;9;46;98;8;48;62;58;7;18;173;15
Enero de 2025;1;Andalucía;11;Cádiz;11003;Algar;133;<5;11;31;<5;28;58;7;9;13;95;9
Enero de 2025;1;Andalucía;11;Cádiz;11004;Algeciras;13534;625;1886;2514;589;3402;4518;209;528;1045;9361;2391
Enero de 2025;1;Andalucía;11;Cádiz;11005;Algodonales;440;23;45;107;32;102;131;47;11;19;335;28
Enero de 2025;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;3541;126;341;652;137;871;1414;225;131;394;2511;280
Enero de 2025;1;Andalucía;11;Cádiz;11007;Barbate;2384;88;322;490;115;471;898;99;169;162;1702;252
Enero de 2025;1;Andalucía;11;Cádiz;11008;Barrios, Los;2158;75;265;338;111;550;819;39;135;161;1588;235
Enero de 2025;1;Andalucía;11;Cádiz;11009;Benaocaz;62;0;6;16;0;16;24;<5;9;<5;44;<5
Enero de 2025;1;Andalucía;11;Cádiz;11010;Bornos;622;22;92;148;42;167;151;65;17;60;429;51
Enero de 2025;1;Andalucía;11;Cádiz;11011;Bosque, El;191;13;25;48;5;37;63;7;31;6;133;14
Enero de 2025;1;Andalucía;11;Cádiz;11012;Cádiz;9708;340;1364;2288;326;1895;3495;61;484;600;7381;1182
Enero de 2025;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;261;12;25;44;12;56;112;<5;13;10;216;20
Enero de 2025;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;1661;59;209;379;54;371;589;60;55;146;1236;164
Enero de 2025;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;8735;352;1170;1829;322;1909;3153;96;384;1240;5727;1288
Enero de 2025;1;Andalucía;11;Cádiz;11016;Chipiona;1761;85;264;365;66;427;554;137;48;136;1282;158
Enero de 2025;1;Andalucía;11;Cádiz;11017;Espera;251;15;40;67;21;57;51;26;12;29;159;25
Enero de 2025;1;Andalucía;11;Cádiz;11018;Gastor, El;130;<5;14;50;<5;29;29;10;<5;19;95;<5
Enero de 2025;1;Andalucía;11;Cádiz;11019;Grazalema;157;<5;13;41;6;31;63;<5;5;8;135;6
Enero de 2025;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;22812;852;2625;4440;884;4953;9058;723;1046;1835;16173;3035
Enero de 2025;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;625;18;56;123;28;151;249;43;17;65;447;53
Enero de 2025;1;Andalucía;11;Cádiz;11022;Lánea de la Concepcián, La;8847;345;1385;1806;364;2277;2670;96;527;902;5554;1768
Enero de 2025;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;1245;38;124;258;53;304;468;67;48;113;932;85
Enero de 2025;1;Andalucía;11;Cádiz;11024;Olvera;504;27;72;145;20;111;129;62;23;55;331;33
Enero de 2025;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;565;16;61;119;26;146;197;34;21;232;244;34
Enero de 2025;1;Andalucía;11;Cádiz;11026;Prado del Rey;656;27;78;170;25;131;225;36;138;38;413;31
Enero de 2025;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;8324;276;1074;1661;270;1871;3172;105;344;617;6206;1052
Enero de 2025;1;Andalucía;11;Cádiz;11028;Puerto Real;3842;146;486;710;129;872;1499;52;292;273;2723;502
Enero de 2025;1;Andalucía;11;Cádiz;11029;Puerto Serrano;356;37;58;98;36;72;55;55;12;41;221;27
Enero de 2025;1;Andalucía;11;Cádiz;11030;Rota;2259;74;306;446;104;485;844;29;325;165;1514;226
Enero de 2025;1;Andalucía;11;Cádiz;11031;San Fernando;9068;330;1150;1736;308;1936;3608;73;355;674;6593;1373
Enero de 2025;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;6895;247;950;1352;243;1671;2432;635;259;609;4592;800
Enero de 2025;1;Andalucía;11;Cádiz;11033;San Roque;2997;159;414;554;134;714;1022;30;154;428;1995;390
Enero de 2025;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;201;7;36;66;14;40;38;28;5;34;121;13
Enero de 2025;1;Andalucía;11;Cádiz;11035;Tarifa;1275;65;185;261;51;242;471;27;40;84;1003;121
Enero de 2025;1;Andalucía;11;Cádiz;11036;Torre Alhóquime;71;6;15;20;8;15;7;15;<5;<5;46;<5
Enero de 2025;1;Andalucía;11;Cádiz;11037;Trebujena;502;25;102;109;26;143;97;63;14;16;354;55
Enero de 2025;1;Andalucía;11;Cádiz;11038;Ubrique;1436;53;149;370;45;261;558;14;672;58;608;84
Enero de 2025;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;1262;40;157;300;44;230;491;45;28;135;935;119
Enero de 2025;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;34;0;<5;7;<5;9;13;<5;5;<5;26;<5
Enero de 2025;1;Andalucía;11;Cádiz;11041;Villamartán;1272;64;180;301;83;293;351;111;69;144;851;97
Enero de 2025;1;Andalucía;11;Cádiz;11042;Zahara;82;<5;18;26;8;12;15;10;5;19;46;<5
Enero de 2025;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;685;31;70;122;30;145;287;77;22;78;464;44
Enero de 2025;1;Andalucía;11;Cádiz;11902;San José del Valle;402;22;41;91;14;103;131;47;16;58;262;19
Enero de 2025;1;Andalucía;11;Cádiz;11903;San Martín del Tesorillo;214;6;36;55;5;49;63;<5;<5;20;164;23
Enero de 2025;1;Andalucía;14;Córdoba;14001;Adamuz;116;7;12;20;8;42;27;23;5;5;75;8
Enero de 2025;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;507;32;66;117;38;136;118;46;33;49;321;58
Enero de 2025;1;Andalucía;14;Córdoba;14003;Alcaracejos;94;6;15;27;0;24;22;10;<5;13;68;0
