;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2021;1;Andalucía;4;Almería;04001;Abla;85;4;14;32;2;23;10;14;2;6;59;4
Enero de 2021;1;Andalucía;4;Almería;04002;Abrucena;76;4;11;16;9;23;13;10;2;8;40;16
Enero de 2021;1;Andalucía;4;Almería;04003;Adra;2290;107;403;489;79;634;578;428;73;217;1381;191
Enero de 2021;1;Andalucía;4;Almería;04004;Albánchez;30;4;3;12;0;4;7;1;2;3;21;3
Enero de 2021;1;Andalucía;4;Almería;04005;Alboloduy;42;1;9;14;2;10;6;8;7;3;21;3
Enero de 2021;1;Andalucía;4;Almería;04006;Albox;949;50;157;197;38;306;201;84;54;110;599;102
Enero de 2021;1;Andalucía;4;Almería;04007;Alcolea;82;7;11;24;3;21;16;19;1;14;47;1
Enero de 2021;1;Andalucía;4;Almería;04008;Alcántar;25;0;2;9;3;7;4;4;3;2;14;2
Enero de 2021;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;9;3;0;4;0;0;2;1;0;0;7;1
Enero de 2021;1;Andalucía;4;Almería;04010;Alhabia;86;5;14;33;1;21;12;5;16;31;28;6
Enero de 2021;1;Andalucía;4;Almería;04011;Alhama de Almería;389;18;76;84;17;103;91;31;26;40;239;53
Enero de 2021;1;Andalucía;4;Almería;04012;Alicán;20;2;0;5;0;4;9;0;3;1;15;1
Enero de 2021;1;Andalucía;4;Almería;04013;Almería;23170;1086;4483;4721;1101;6046;5733;1635;631;2113;15710;3081
Enero de 2021;1;Andalucía;4;Almería;04014;Almócita;13;1;3;0;0;3;6;2;0;2;7;2
Enero de 2021;1;Andalucía;4;Almería;04015;Alsodux;9;1;3;3;0;1;1;1;1;1;5;1
Enero de 2021;1;Andalucía;4;Almería;04016;Antas;202;6;27;37;15;58;59;25;5;12;147;13
Enero de 2021;1;Andalucía;4;Almería;04017;Arboleas;178;13;35;41;15;48;26;19;9;29;101;20
Enero de 2021;1;Andalucía;4;Almería;04018;Armuía de Almanzora;21;1;4;3;0;6;7;1;1;3;16;0
Enero de 2021;1;Andalucía;4;Almería;04019;Bacares;13;0;1;2;1;3;6;1;0;0;11;1
Enero de 2021;1;Andalucía;4;Almería;04020;Bayórcal;18;1;1;8;0;5;3;1;0;2;15;0
Enero de 2021;1;Andalucía;4;Almería;04021;Bayarque;13;1;0;2;1;5;4;2;0;2;9;0
Enero de 2021;1;Andalucía;4;Almería;04022;Bódar;41;2;6;14;2;7;10;1;5;2;30;3
Enero de 2021;1;Andalucía;4;Almería;04023;Beires;8;0;1;4;1;1;1;1;0;1;6;0
Enero de 2021;1;Andalucía;4;Almería;04024;Benahadux;401;18;62;62;16;127;116;20;23;33;285;40
Enero de 2021;1;Andalucía;4;Almería;04026;Benitagla;5;1;0;2;1;1;0;1;0;0;4;0
Enero de 2021;1;Andalucía;4;Almería;04027;Benizalán;15;1;5;3;2;1;3;1;1;0;11;2
Enero de 2021;1;Andalucía;4;Almería;04028;Bentarique;15;1;4;6;0;3;1;3;0;2;8;2
Enero de 2021;1;Andalucía;4;Almería;04029;Berja;1323;59;259;336;54;318;297;316;43;178;690;96
Enero de 2021;1;Andalucía;4;Almería;04030;Canjóyar;106;7;25;31;3;26;14;17;4;11;67;7
Enero de 2021;1;Andalucía;4;Almería;04031;Cantoria;255;7;40;62;11;55;80;14;18;27;176;20
Enero de 2021;1;Andalucía;4;Almería;04032;Carboneras;824;44;160;160;27;234;199;93;43;64;565;59
Enero de 2021;1;Andalucía;4;Almería;04033;Castro de Filabres;7;0;1;3;0;0;3;2;0;0;5;0
Enero de 2021;1;Andalucía;4;Almería;04034;Cóbdar;10;1;0;3;0;4;2;1;0;1;8;0
Enero de 2021;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;1269;62;254;213;81;369;290;214;32;108;818;97
Enero de 2021;1;Andalucía;4;Almería;04036;Chercos;21;2;5;4;3;5;2;0;4;2;12;3
Enero de 2021;1;Andalucía;4;Almería;04037;Chirivel;57;1;9;15;2;16;14;7;1;4;43;2
Enero de 2021;1;Andalucía;4;Almería;04038;Dalías;264;6;43;73;8;66;68;58;6;35;148;17
Enero de 2021;1;Andalucía;4;Almería;04041;Enix;21;1;2;7;1;4;6;2;1;1;14;3
Enero de 2021;1;Andalucía;4;Almería;04043;Felix;34;2;5;13;0;6;8;6;0;3;24;1
Enero de 2021;1;Andalucía;4;Almería;04044;Fines;222;9;40;42;8;58;65;24;31;11;139;17
Enero de 2021;1;Andalucía;4;Almería;04045;Fiíana;205;10;39;64;11;51;30;38;28;20;98;21
Enero de 2021;1;Andalucía;4;Almería;04046;Fondán;81;1;10;25;0;16;29;6;13;9;51;2
Enero de 2021;1;Andalucía;4;Almería;04047;Gódor;377;30;79;82;18;90;78;48;26;31;215;57
Enero de 2021;1;Andalucía;4;Almería;04048;Gallardos, Los;169;12;19;32;5;48;53;17;3;17;121;11
Enero de 2021;1;Andalucía;4;Almería;04049;Garrucha;1221;58;231;227;54;314;337;52;23;71;1019;56
Enero de 2021;1;Andalucía;4;Almería;04050;Górgal;102;5;18;27;7;23;22;31;3;8;51;9
Enero de 2021;1;Andalucía;4;Almería;04051;Huócija;28;2;4;8;1;7;6;2;3;1;21;1
Enero de 2021;1;Andalucía;4;Almería;04052;Huórcal de Almería;1752;98;290;325;94;494;451;64;46;156;1289;197
Enero de 2021;1;Andalucía;4;Almería;04053;Huórcal-Overa;1443;52;256;244;74;480;337;239;71;105;897;131
Enero de 2021;1;Andalucía;4;Almería;04054;Illar;30;1;8;11;1;6;3;4;2;3;20;1
Enero de 2021;1;Andalucía;4;Almería;04055;Instincián;29;3;2;11;0;8;5;3;0;4;18;4
Enero de 2021;1;Andalucía;4;Almería;04056;Laroya;19;1;4;5;2;6;1;2;1;1;13;2
Enero de 2021;1;Andalucía;4;Almería;04057;Líujar de Andarax;138;5;20;40;3;28;42;16;13;18;86;5
Enero de 2021;1;Andalucía;4;Almería;04058;Lójar;29;3;1;12;1;7;5;1;2;3;22;1
Enero de 2021;1;Andalucía;4;Almería;04059;Lubrán;83;5;15;25;3;21;14;10;5;13;45;10
Enero de 2021;1;Andalucía;4;Almería;04060;Lucainena de las Torres;52;1;9;14;2;14;12;4;0;7;38;3
Enero de 2021;1;Andalucía;4;Almería;04061;Lócar;73;3;12;13;5;15;25;7;8;9;43;6
Enero de 2021;1;Andalucía;4;Almería;04062;Macael;555;27;73;112;17;145;181;26;119;27;326;57
Enero de 2021;1;Andalucía;4;Almería;04063;María;65;2;11;17;2;18;15;9;7;6;40;3
Enero de 2021;1;Andalucía;4;Almería;04064;Mojócar;627;20;118;134;25;149;181;14;12;28;539;34
Enero de 2021;1;Andalucía;4;Almería;04065;Nacimiento;32;2;3;5;4;8;10;10;12;1;9;0
Enero de 2021;1;Andalucía;4;Almería;04066;Nójar;2921;124;630;625;126;800;616;951;59;161;1504;246
Enero de 2021;1;Andalucía;4;Almería;04067;Ohanes;57;2;13;21;1;10;10;9;2;4;39;3
Enero de 2021;1;Andalucía;4;Almería;04068;Olula de Castro;10;0;2;4;1;1;2;1;0;0;9;0
Enero de 2021;1;Andalucía;4;Almería;04069;Olula del Río;747;19;102;146;32;220;228;49;98;53;478;69
Enero de 2021;1;Andalucía;4;Almería;04070;Oria;100;7;23;21;6;21;22;18;7;9;54;12
Enero de 2021;1;Andalucía;4;Almería;04071;Padules;27;3;5;7;1;7;4;3;1;3;18;2
Enero de 2021;1;Andalucía;4;Almería;04072;Partaloa;17;2;3;3;1;1;7;1;1;2;11;2
Enero de 2021;1;Andalucía;4;Almería;04073;Paterna del Río;35;5;8;11;1;4;6;2;2;1;27;3
Enero de 2021;1;Andalucía;4;Almería;04074;Pechina;512;25;93;109;33;127;125;79;11;40;318;64
Enero de 2021;1;Andalucía;4;Almería;04075;Pulpó;477;25;92;82;24;153;101;137;22;25;251;42
Enero de 2021;1;Andalucía;4;Almería;04076;Purchena;125;3;20;27;4;33;38;10;22;17;67;9
Enero de 2021;1;Andalucía;4;Almería;04077;Rógol;15;0;2;3;0;5;5;3;0;0;11;1
Enero de 2021;1;Andalucía;4;Almería;04078;Rioja;208;11;25;53;8;46;65;28;4;27;134;15
Enero de 2021;1;Andalucía;4;Almería;04079;Roquetas de Mar;10150;376;1980;2072;331;2837;2554;1433;305;1067;6737;608
Enero de 2021;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;12;0;2;7;0;1;2;2;2;3;5;0
Enero de 2021;1;Andalucía;4;Almería;04081;Santa Fe de Mondójar;57;4;13;10;8;13;9;6;1;5;36;9
Enero de 2021;1;Andalucía;4;Almería;04082;Senés;20;1;3;7;0;4;5;1;1;1;17;0
Enero de 2021;1;Andalucía;4;Almería;04083;Serán;127;6;20;35;5;26;35;11;15;11;83;7
