;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2020;1;Andalucía;4;Almería;04001;Abla;84;6;11;27;4;25;11;13;3;4;55;9
Enero de 2020;1;Andalucía;4;Almería;04002;Abrucena;76;5;10;19;8;17;17;7;4;13;44;8
Enero de 2020;1;Andalucía;4;Almería;04003;Adra;1989;92;347;415;78;541;516;362;67;198;1178;184
Enero de 2020;1;Andalucía;4;Almería;04004;Albánchez;22;1;3;12;0;5;1;2;3;0;16;1
Enero de 2020;1;Andalucía;4;Almería;04005;Alboloduy;37;2;10;8;1;10;6;8;6;7;15;1
Enero de 2020;1;Andalucía;4;Almería;04006;Albox;750;40;105;163;33;231;178;63;35;88;501;63
Enero de 2020;1;Andalucía;4;Almería;04007;Alcolea;81;3;11;33;7;16;11;11;0;18;49;3
Enero de 2020;1;Andalucía;4;Almería;04008;Alcántar;23;0;2;10;2;5;4;4;2;2;14;1
Enero de 2020;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;3;0;0;2;0;0;1;1;0;0;2;0
Enero de 2020;1;Andalucía;4;Almería;04010;Alhabia;70;6;14;25;1;15;9;1;13;22;29;5
Enero de 2020;1;Andalucía;4;Almería;04011;Alhama de Almería;339;18;55;78;13;98;77;21;21;31;230;36
Enero de 2020;1;Andalucía;4;Almería;04012;Alicán;24;1;2;7;0;3;11;0;1;1;21;1
Enero de 2020;1;Andalucía;4;Almería;04013;Almería;18151;611;3312;4004;624;4678;4922;1127;568;1836;12555;2065
Enero de 2020;1;Andalucía;4;Almería;04014;Almócita;13;0;2;2;0;2;7;1;1;2;8;1
Enero de 2020;1;Andalucía;4;Almería;04015;Alsodux;8;1;1;3;0;2;1;1;0;0;7;0
Enero de 2020;1;Andalucía;4;Almería;04016;Antas;148;3;27;23;8;41;46;15;5;9;111;8
Enero de 2020;1;Andalucía;4;Almería;04017;Arboleas;131;3;29;28;9;38;24;12;9;20;80;10
Enero de 2020;1;Andalucía;4;Almería;04018;Armuía de Almanzora;20;0;7;4;1;4;4;2;0;5;13;0
Enero de 2020;1;Andalucía;4;Almería;04019;Bacares;13;0;3;1;2;2;5;0;0;0;12;1
Enero de 2020;1;Andalucía;4;Almería;04020;Bayórcal;14;0;1;7;0;4;2;0;0;1;13;0
Enero de 2020;1;Andalucía;4;Almería;04021;Bayarque;14;2;1;2;1;5;3;2;0;4;7;1
Enero de 2020;1;Andalucía;4;Almería;04022;Bódar;39;4;5;12;0;11;7;0;5;3;29;2
Enero de 2020;1;Andalucía;4;Almería;04023;Beires;7;0;1;4;1;0;1;0;0;1;6;0
Enero de 2020;1;Andalucía;4;Almería;04024;Benahadux;362;8;65;56;13;108;112;25;20;26;259;32
Enero de 2020;1;Andalucía;4;Almería;04026;Benitagla;2;0;1;1;0;0;0;0;0;0;2;0
Enero de 2020;1;Andalucía;4;Almería;04027;Benizalán;16;1;3;3;1;1;7;2;0;0;13;1
Enero de 2020;1;Andalucía;4;Almería;04028;Bentarique;14;0;3;7;0;3;1;2;0;1;10;1
Enero de 2020;1;Andalucía;4;Almería;04029;Berja;1170;52;226;324;48;261;259;239;33;198;619;81
Enero de 2020;1;Andalucía;4;Almería;04030;Canjóyar;92;4;16;33;2;26;11;12;4;12;59;5
Enero de 2020;1;Andalucía;4;Almería;04031;Cantoria;220;9;34;59;4;51;63;14;17;27;145;17
Enero de 2020;1;Andalucía;4;Almería;04032;Carboneras;702;41;130;127;23;210;171;69;60;58;467;48
Enero de 2020;1;Andalucía;4;Almería;04033;Castro de Filabres;6;1;1;1;0;1;2;1;0;0;5;0
Enero de 2020;1;Andalucía;4;Almería;04034;Cóbdar;9;0;3;1;0;3;2;1;0;0;8;0
Enero de 2020;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;1033;41;182;187;59;302;262;168;25;89;680;71
Enero de 2020;1;Andalucía;4;Almería;04036;Chercos;19;2;4;4;2;5;2;0;4;3;11;1
Enero de 2020;1;Andalucía;4;Almería;04037;Chirivel;50;3;9;13;1;16;8;4;2;2;41;1
