;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2024;1;Andalucía;4;Almería;04001;Abla;80;<5;10;25;<5;19;20;13;6;5;51;5
Enero de 2024;1;Andalucía;4;Almería;04002;Abrucena;53;<5;7;17;<5;15;11;5;6;6;30;6
Enero de 2024;1;Andalucía;4;Almería;04003;Adra;1830;73;286;369;92;458;552;297;55;169;1124;185
Enero de 2024;1;Andalucía;4;Almería;04004;Albánchez;24;<5;<5;9;0;<5;8;<5;<5;<5;17;0
Enero de 2024;1;Andalucía;4;Almería;04005;Alboloduy;32;0;6;11;0;8;7;<5;6;<5;19;0
Enero de 2024;1;Andalucía;4;Almería;04006;Albox;745;36;110;159;35;195;210;59;51;79;486;70
Enero de 2024;1;Andalucía;4;Almería;04007;Alcolea;63;<5;<5;20;<5;17;17;13;<5;8;38;<5
Enero de 2024;1;Andalucía;4;Almería;04008;Alcántar;22;<5;<5;10;<5;5;<5;<5;<5;0;13;<5
Enero de 2024;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;<5;0;0;<5;0;0;<5;0;<5;0;<5;0
Enero de 2024;1;Andalucía;4;Almería;04010;Alhabia;62;<5;12;21;<5;14;11;<5;<5;24;28;6
Enero de 2024;1;Andalucía;4;Almería;04011;Alhama de Almería;315;13;50;77;13;64;98;24;30;31;195;35
Enero de 2024;1;Andalucía;4;Almería;04012;Alicán;17;0;0;6;0;<5;8;0;<5;<5;13;<5
Enero de 2024;1;Andalucía;4;Almería;04013;Almería;17702;759;2800;3858;749;4143;5393;1008;506;1635;12174;2379
Enero de 2024;1;Andalucía;4;Almería;04014;Almócita;15;0;0;5;0;<5;9;<5;0;<5;11;0
Enero de 2024;1;Andalucía;4;Almería;04015;Alsodux;10;0;<5;<5;<5;<5;<5;<5;<5;0;5;<5
Enero de 2024;1;Andalucía;4;Almería;04016;Antas;153;<5;25;30;<5;34;60;14;6;10;109;14
Enero de 2024;1;Andalucía;4;Almería;04017;Arboleas;130;14;20;31;<5;30;31;11;9;15;81;14
Enero de 2024;1;Andalucía;4;Almería;04018;Armuía de Almanzora;25;<5;9;<5;0;<5;7;<5;<5;<5;19;0
Enero de 2024;1;Andalucía;4;Almería;04019;Bacares;8;0;<5;<5;0;0;<5;<5;0;0;6;0
Enero de 2024;1;Andalucía;4;Almería;04020;Bayórcal;20;0;<5;8;<5;<5;5;<5;0;<5;15;<5
Enero de 2024;1;Andalucía;4;Almería;04021;Bayarque;11;<5;<5;<5;0;<5;<5;0;0;<5;8;<5
Enero de 2024;1;Andalucía;4;Almería;04022;Bódar;35;<5;<5;12;<5;<5;12;0;<5;<5;28;<5
Enero de 2024;1;Andalucía;4;Almería;04023;Beires;9;0;<5;5;0;<5;<5;0;0;<5;8;0
Enero de 2024;1;Andalucía;4;Almería;04024;Benahadux;342;13;40;63;21;106;99;13;18;23;247;41
Enero de 2024;1;Andalucía;4;Almería;04026;Benitagla;<5;0;<5;<5;0;0;0;<5;0;<5;0;0
Enero de 2024;1;Andalucía;4;Almería;04027;Benizalán;15;<5;0;6;<5;<5;5;<5;0;<5;12;<5
Enero de 2024;1;Andalucía;4;Almería;04028;Bentarique;18;0;<5;6;<5;<5;5;<5;<5;0;11;<5
Enero de 2024;1;Andalucía;4;Almería;04029;Berja;1042;36;174;282;31;256;263;231;31;131;561;88
Enero de 2024;1;Andalucía;4;Almería;04030;Canjóyar;91;6;18;30;<5;17;16;14;<5;16;54;5
Enero de 2024;1;Andalucía;4;Almería;04031;Cantoria;196;6;21;49;9;43;68;12;11;24;129;20
Enero de 2024;1;Andalucía;4;Almería;04032;Carboneras;533;24;69;121;16;129;174;34;33;43;373;50
Enero de 2024;1;Andalucía;4;Almería;04033;Castro de Filabres;<5;0;<5;0;0;<5;<5;0;0;0;<5;0
Enero de 2024;1;Andalucía;4;Almería;04034;Cóbdar;16;0;5;5;0;5;<5;<5;<5;<5;10;0
Enero de 2024;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;937;47;155;180;52;238;265;119;33;87;627;71
Enero de 2024;1;Andalucía;4;Almería;04036;Chercos;11;0;0;6;<5;<5;<5;<5;<5;0;9;0
Enero de 2024;1;Andalucía;4;Almería;04037;Chirivel;63;9;8;19;<5;10;15;5;<5;5;40;10
Enero de 2024;1;Andalucía;4;Almería;04038;Dalías;217;9;21;53;10;60;64;37;6;21;133;20
Enero de 2024;1;Andalucía;4;Almería;04041;Enix;16;<5;<5;<5;<5;<5;<5;0;<5;<5;11;<5
Enero de 2024;1;Andalucía;4;Almería;04043;Felix;30;<5;<5;16;<5;<5;7;5;<5;8;14;<5
Enero de 2024;1;Andalucía;4;Almería;04044;Fines;186;6;16;39;6;52;67;9;30;10;118;19
