;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2022;1;Andalucía;4;Almería;04054;Illar;30;<5;<5;9;<5;5;10;<5;7;<5;18;<5
Enero de 2022;1;Andalucía;4;Almería;04055;Instincián;24;0;<5;9;<5;5;8;<5;0;<5;17;<5
Enero de 2022;1;Andalucía;4;Almería;04056;Laroya;16;<5;<5;<5;<5;<5;<5;0;0;<5;13;<5
Enero de 2022;1;Andalucía;4;Almería;04057;Líujar de Andarax;112;<5;9;34;<5;19;46;13;21;13;60;5
Enero de 2022;1;Andalucía;4;Almería;04058;Lójar;34;<5;<5;10;<5;8;9;0;<5;5;27;0
Enero de 2022;1;Andalucía;4;Almería;04059;Lubrán;60;<5;7;22;0;16;13;5;5;9;36;5
Enero de 2022;1;Andalucía;4;Almería;04060;Lucainena de las Torres;50;0;6;17;<5;14;11;6;<5;9;32;<5
Enero de 2022;1;Andalucía;4;Almería;04061;Lócar;72;0;10;13;<5;17;29;7;10;5;44;6
Enero de 2022;1;Andalucía;4;Almería;04062;Macael;443;12;58;97;7;103;166;26;94;24;267;32
Enero de 2022;1;Andalucía;4;Almería;04063;María;56;<5;9;16;<5;11;17;10;7;7;32;0
Enero de 2022;1;Andalucía;4;Almería;04064;Mojócar;417;8;66;101;14;80;148;8;9;19;363;18
Enero de 2022;1;Andalucía;4;Almería;04065;Nacimiento;33;0;5;<5;<5;9;13;6;14;<5;11;<5
Enero de 2022;1;Andalucía;4;Almería;04066;Nójar;2229;69;479;503;75;581;522;730;77;123;1145;154
Enero de 2022;1;Andalucía;4;Almería;04067;Ohanes;55;<5;8;23;<5;8;8;<5;0;6;41;<5
Enero de 2022;1;Andalucía;4;Almería;04068;Olula de Castro;13;<5;<5;<5;<5;<5;5;<5;0;0;9;<5
Enero de 2022;1;Andalucía;4;Almería;04069;Olula del Río;629;17;73;135;27;157;220;41;86;47;397;58
Enero de 2022;1;Andalucía;4;Almería;04070;Oria;85;7;16;19;<5;18;22;12;9;7;50;7
Enero de 2022;1;Andalucía;4;Almería;04071;Padules;25;0;<5;9;<5;7;<5;0;<5;<5;21;0
Enero de 2022;1;Andalucía;4;Almería;04072;Partaloa;15;<5;<5;<5;<5;<5;<5;0;0;<5;9;<5
Enero de 2022;1;Andalucía;4;Almería;04073;Paterna del Río;28;<5;6;5;<5;<5;10;<5;0;<5;26;0
Enero de 2022;1;Andalucía;4;Almería;04074;Pechina;439;18;72;88;26;107;128;60;10;39;279;51
Enero de 2022;1;Andalucía;4;Almería;04075;Pulpó;367;20;60;69;14;107;97;87;18;22;219;21
Enero de 2022;1;Andalucía;4;Almería;04076;Purchena;108;6;14;22;<5;30;34;<5;16;13;66;9
Enero de 2022;1;Andalucía;4;Almería;04077;Rógol;12;0;<5;<5;0;<5;<5;<5;<5;<5;8;0
Enero de 2022;1;Andalucía;4;Almería;04078;Rioja;192;5;25;51;7;41;63;13;6;19;144;10
Enero de 2022;1;Andalucía;4;Almería;04079;Roquetas de Mar;8558;310;1486;1837;277;2304;2344;1197;237;954;5604;566
Enero de 2022;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;23;<5;<5;10;<5;<5;<5;<5;5;<5;15;<5
Enero de 2022;1;Andalucía;4;Almería;04081;Santa Fe de Mondójar;43;<5;<5;15;<5;11;9;7;<5;<5;29;<5
Enero de 2022;1;Andalucía;4;Almería;04082;Senés;23;<5;<5;12;0;<5;6;<5;0;<5;17;0
Enero de 2022;1;Andalucía;4;Almería;04083;Serán;104;<5;18;25;<5;23;34;<5;9;10;77;<5
Enero de 2022;1;Andalucía;4;Almería;04084;Sierro;35;<5;10;11;<5;<5;7;<5;<5;6;21;<5
Enero de 2022;1;Andalucía;4;Almería;04085;Somontán;27;<5;<5;9;<5;7;6;0;<5;<5;23;<5
Enero de 2022;1;Andalucía;4;Almería;04086;Sorbas;216;9;49;41;10;61;46;32;11;24;132;17
Enero de 2022;1;Andalucía;4;Almería;04087;Sufló;16;<5;<5;8;0;<5;<5;0;<5;<5;10;<5
Enero de 2022;1;Andalucía;4;Almería;04088;Tabernas;347;12;60;103;13;78;81;61;16;50;205;15
Enero de 2022;1;Andalucía;4;Almería;04089;Taberno;52;<5;9;12;<5;16;9;<5;<5;<5;35;5
Enero de 2022;1;Andalucía;4;Almería;04090;Tahal;24;0;8;7;0;<5;6;<5;<5;<5;18;<5
Enero de 2022;1;Andalucía;4;Almería;04091;Terque;32;<5;<5;8;<5;6;11;0;<5;<5;24;<5
Enero de 2022;1;Andalucía;4;Almería;04092;Tójola;223;9;43;46;9;58;58;27;20;27;129;20
Enero de 2022;1;Andalucía;4;Almería;04093;Turre;352;11;56;69;17;102;97;16;6;51;261;18
Enero de 2022;1;Andalucía;4;Almería;04094;Turrillas;6;0;<5;<5;0;<5;<5;0;0;<5;5;0
Enero de 2022;1;Andalucía;4;Almería;04095;Uleila del Campo;52;<5;7;13;<5;13;15;7;<5;<5;34;<5
Enero de 2022;1;Andalucía;4;Almería;04096;Urrócal;26;<5;<5;<5;0;9;8;<5;<5;<5;17;<5
Enero de 2022;1;Andalucía;4;Almería;04097;Velefique;16;<5;<5;7;0;<5;<5;<5;0;<5;11;<5
Enero de 2022;1;Andalucía;4;Almería;04098;Vélez-Blanco;105;<5;18;26;<5;25;31;17;5;8;72;<5
Enero de 2022;1;Andalucía;4;Almería;04099;Vélez-Rubio;383;16;58;109;13;87;100;34;39;42;246;22
Enero de 2022;1;Andalucía;4;Almería;04100;Vera;1510;57;245;296;70;426;416;142;52;114;1099;103
Enero de 2022;1;Andalucía;4;Almería;04101;Viator;491;22;75;86;18;163;127;36;15;39;368;33
Enero de 2022;1;Andalucía;4;Almería;04102;Vócar;1909;89;374;392;82;520;452;382;54;205;1099;169
Enero de 2022;1;Andalucía;4;Almería;04103;Zurgena;146;<5;23;49;13;34;24;14;<5;22;96;13
Enero de 2022;1;Andalucía;4;Almería;04901;Tres Villas, Las;33;0;<5;18;0;7;6;5;<5;<5;21;<5
Enero de 2022;1;Andalucía;4;Almería;04902;Ejido, El;5334;219;892;1141;188;1497;1397;1362;166;333;3024;449
Enero de 2022;1;Andalucía;4;Almería;04903;Mojonera, La;472;33;97;107;18;111;106;147;14;43;230;38
Enero de 2022;1;Andalucía;4;Almería;04904;Balanegra;173;11;27;42;7;52;34;45;<5;12;93;20
