;;;PARO REGISTRADO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Enero de 2026;1;Andalucía;4;Almería;04001;Abla;65;0;10;24;0;10;21;10;<5;5;45;<5
Enero de 2026;1;Andalucía;4;Almería;04002;Abrucena;57;<5;6;20;<5;14;14;<5;<5;7;40;5
Enero de 2026;1;Andalucía;4;Almería;04003;Adra;1387;65;191;297;48;336;450;198;55;133;856;145
Enero de 2026;1;Andalucía;4;Almería;04004;Albánchez;22;<5;<5;6;<5;<5;8;0;<5;<5;16;0
Enero de 2026;1;Andalucía;4;Almería;04005;Alboloduy;28;<5;<5;8;0;7;9;<5;<5;<5;18;0
Enero de 2026;1;Andalucía;4;Almería;04006;Albox;720;46;94;146;38;187;209;43;51;72;453;101
Enero de 2026;1;Andalucía;4;Almería;04007;Alcolea;52;<5;<5;19;<5;9;15;6;0;5;40;<5
Enero de 2026;1;Andalucía;4;Almería;04008;Alcántar;20;<5;<5;7;0;5;<5;<5;<5;0;11;<5
Enero de 2026;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;<5;0;0;<5;<5;0;<5;0;0;0;<5;<5
Enero de 2026;1;Andalucía;4;Almería;04010;Alhabia;47;<5;7;15;<5;13;10;6;<5;10;23;6
Enero de 2026;1;Andalucía;4;Almería;04011;Alhama de Almería;260;8;43;51;15;55;88;24;21;18;170;27
Enero de 2026;1;Andalucía;4;Almería;04012;Alicán;13;<5;0;<5;<5;<5;5;0;0;<5;9;<5
Enero de 2026;1;Andalucía;4;Almería;04013;Almería;14682;657;2188;3307;599;3353;4578;716;426;1338;10100;2102
Enero de 2026;1;Andalucía;4;Almería;04014;Almócita;15;0;<5;6;0;<5;5;<5;<5;<5;10;0
Enero de 2026;1;Andalucía;4;Almería;04015;Alsodux;6;0;<5;<5;0;0;<5;0;0;0;5;<5
Enero de 2026;1;Andalucía;4;Almería;04016;Antas;123;<5;9;24;<5;25;60;12;<5;<5;94;9
Enero de 2026;1;Andalucía;4;Almería;04017;Arboleas;98;9;14;25;6;19;25;10;6;9;62;11
Enero de 2026;1;Andalucía;4;Almería;04018;Armuía de Almanzora;23;<5;6;<5;<5;5;5;<5;<5;<5;11;<5
Enero de 2026;1;Andalucía;4;Almería;04019;Bacares;8;<5;<5;0;<5;<5;<5;0;<5;0;5;<5
Enero de 2026;1;Andalucía;4;Almería;04020;Bayórcal;11;0;<5;5;0;<5;<5;0;0;<5;10;0
Enero de 2026;1;Andalucía;4;Almería;04021;Bayarque;8;<5;0;<5;0;<5;<5;0;<5;<5;<5;0
Enero de 2026;1;Andalucía;4;Almería;04022;Bódar;30;<5;<5;11;<5;<5;10;<5;<5;<5;24;<5
Enero de 2026;1;Andalucía;4;Almería;04023;Beires;10;0;<5;<5;0;<5;<5;0;<5;<5;8;0
Enero de 2026;1;Andalucía;4;Almería;04024;Benahadux;266;12;29;48;15;64;98;10;11;20;191;34
Enero de 2026;1;Andalucía;4;Almería;04026;Benitagla;<5;0;0;<5;0;0;0;<5;0;0;<5;0
Enero de 2026;1;Andalucía;4;Almería;04027;Benizalán;8;0;<5;<5;0;<5;<5;0;0;0;8;0
Enero de 2026;1;Andalucía;4;Almería;04028;Bentarique;12;<5;<5;<5;0;<5;<5;<5;<5;0;8;<5
Enero de 2026;1;Andalucía;4;Almería;04029;Berja;728;30;100;188;22;178;210;158;24;92;383;71
Enero de 2026;1;Andalucía;4;Almería;04030;Canjóyar;68;0;11;22;<5;15;17;11;0;11;42;<5
Enero de 2026;1;Andalucía;4;Almería;04031;Cantoria;186;6;22;40;7;43;68;9;18;15;130;14
Enero de 2026;1;Andalucía;4;Almería;04032;Carboneras;433;31;55;93;17;90;147;20;33;35;304;41
Enero de 2026;1;Andalucía;4;Almería;04033;Castro de Filabres;<5;0;<5;<5;0;<5;<5;<5;0;0;<5;0
Enero de 2026;1;Andalucía;4;Almería;04034;Cóbdar;9;0;<5;<5;0;<5;<5;<5;<5;<5;<5;0
Enero de 2026;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;762;41;135;152;32;185;217;71;28;71;528;64
Enero de 2026;1;Andalucía;4;Almería;04036;Chercos;12;0;0;<5;0;<5;5;<5;<5;0;7;<5
Enero de 2026;1;Andalucía;4;Almería;04037;Chirivel;57;10;9;17;0;9;12;6;<5;<5;31;12
Enero de 2026;1;Andalucía;4;Almería;04038;Dalías;157;<5;21;46;5;34;47;34;<5;17;90;13
Enero de 2026;1;Andalucía;4;Almería;04041;Enix;19;0;5;7;0;<5;5;<5;<5;<5;14;<5
Enero de 2026;1;Andalucía;4;Almería;04043;Felix;32;<5;<5;13;<5;7;6;<5;<5;<5;21;<5
Enero de 2026;1;Andalucía;4;Almería;04044;Fines;162;<5;15;37;5;49;54;5;26;9;109;13
Enero de 2026;1;Andalucía;4;Almería;04045;Fiíana;121;5;14;39;6;29;28;21;14;11;61;14
Enero de 2026;1;Andalucía;4;Almería;04046;Fondán;60;<5;<5;22;<5;11;18;5;9;7;36;<5
Enero de 2026;1;Andalucía;4;Almería;04047;Gódor;317;9;61;67;17;86;77;24;20;29;201;43
Enero de 2026;1;Andalucía;4;Almería;04048;Gallardos, Los;109;7;11;21;7;25;38;7;6;12;71;13
Enero de 2026;1;Andalucía;4;Almería;04049;Garrucha;551;23;82;111;21;117;197;14;14;46;419;58
Enero de 2026;1;Andalucía;4;Almería;04050;Górgal;56;<5;5;19;<5;12;15;9;<5;5;27;13
Enero de 2026;1;Andalucía;4;Almería;04051;Huócija;28;<5;<5;7;<5;5;11;<5;<5;<5;20;<5
Enero de 2026;1;Andalucía;4;Almería;04052;Huórcal de Almería;1259;83;156;259;55;270;436;19;53;81;982;124
Enero de 2026;1;Andalucía;4;Almería;04053;Huórcal-Overa;902;44;121;184;37;228;288;95;68;68;568;103
Enero de 2026;1;Andalucía;4;Almería;04054;Illar;25;0;<5;9;<5;<5;9;<5;<5;<5;20;<5
Enero de 2026;1;Andalucía;4;Almería;04055;Instincián;25;0;<5;11;<5;<5;7;0;0;<5;17;<5
Enero de 2026;1;Andalucía;4;Almería;04056;Laroya;15;<5;<5;<5;<5;<5;5;<5;<5;<5;8;<5
Enero de 2026;1;Andalucía;4;Almería;04057;Líujar de Andarax;84;<5;6;22;5;12;37;7;8;13;49;7
Enero de 2026;1;Andalucía;4;Almería;04058;Lójar;21;0;7;7;0;<5;5;0;7;<5;13;0
Enero de 2026;1;Andalucía;4;Almería;04059;Lubrán;47;11;6;16;<5;6;7;<5;<5;7;24;9
Enero de 2026;1;Andalucía;4;Almería;04060;Lucainena de las Torres;40;<5;<5;12;<5;7;16;<5;0;<5;29;<5
Enero de 2026;1;Andalucía;4;Almería;04061;Lócar;58;<5;5;10;5;11;23;5;10;7;31;5
Enero de 2026;1;Andalucía;4;Almería;04062;Macael;382;25;50;68;7;72;160;12;84;24;231;31
Enero de 2026;1;Andalucía;4;Almería;04063;María;44;<5;<5;15;5;6;13;<5;9;<5;25;5
Enero de 2026;1;Andalucía;4;Almería;04064;Mojócar;226;9;23;52;8;36;98;<5;8;9;192;14
Enero de 2026;1;Andalucía;4;Almería;04065;Nacimiento;21;<5;<5;5;<5;6;6;<5;<5;<5;16;<5
Enero de 2026;1;Andalucía;4;Almería;04066;Nójar;1258;70;219;301;42;296;330;289;38;77;687;167
Enero de 2026;1;Andalucía;4;Almería;04067;Ohanes;41;<5;<5;20;<5;6;11;<5;<5;<5;30;<5
