fecha;pais_orig;mun_dest;turistas
2020-03-01;Bulgaria;Torrevieja;46
2020-03-01;Dinamarca;Torrevieja;386
2020-03-01;Finlandia;Torrevieja;2026
2020-03-01;Francia;Torrevieja;981
2020-03-01;Hungria;Torrevieja;55
2020-03-01;Irlanda;Torrevieja;374
2020-03-01;Islandia;Torrevieja;184
2020-03-01;Italia;Torrevieja;165
2020-03-01;Luxemburgo;Torrevieja;38
2020-03-01;Noruega;Torrevieja;3716
2020-03-01;Países Bajos;Torrevieja;930
2020-03-01;Polonia;Torrevieja;390
2020-03-01;Reino Unido;Torrevieja;3848
2020-03-01;Alemania;Torrevieja;1713
2020-03-01;Rumania;Torrevieja;35
2020-03-01;Suecia;Torrevieja;4006
2020-03-01;Suiza;Torrevieja;135
2020-03-01;Ucrania;Torrevieja;210
2020-03-01;Letonia;Torrevieja;57
2020-03-01;Bielorrusia / belarus;Torrevieja;38
2020-03-01;Estonia;Torrevieja;90
2020-03-01;Lituania;Torrevieja;101
2020-03-01;República Checa;Torrevieja;35
2020-03-01;Rusia;Torrevieja;918
2020-03-01;Argelia;Torrevieja;87
2020-03-01;Marruecos;Torrevieja;84
2020-03-01;EE.UU.;Torrevieja;78
2020-03-01;Colombia;Torrevieja;59
2020-03-01;China;Torrevieja;55
2020-04-01;Total;Torrevieja;4583
2020-04-01;Total Europa;Torrevieja;4324
2020-04-01;Total Unión Europea;Torrevieja;2589
2020-04-01;Total África;Torrevieja;87
2020-04-01;Total América;Torrevieja;85
2020-04-01;Total Sudamérica;Torrevieja;60
2020-04-01;Total Asia;Torrevieja;86
2020-04-01;Bélgica;Torrevieja;385
2020-04-01;Dinamarca;Torrevieja;46
2020-04-01;Finlandia;Torrevieja;258
2020-04-01;Francia;Torrevieja;310
2020-04-01;Irlanda;Torrevieja;47
2020-04-01;Islandia;Torrevieja;63
2020-04-01;Italia;Torrevieja;71
2020-04-01;Noruega;Torrevieja;353
2020-04-01;Países Bajos;Torrevieja;161
2020-04-01;Polonia;Torrevieja;89
2020-04-01;Reino Unido;Torrevieja;668
2020-04-01;Alemania;Torrevieja;349
2020-04-01;Suecia;Torrevieja;627
2020-04-01;Suiza;Torrevieja;38
2020-04-01;Ucrania;Torrevieja;102
2020-04-01;Letonia;Torrevieja;31
2020-04-01;Estonia;Torrevieja;57
2020-04-01;Lituania;Torrevieja;50
2020-04-01;Rusia;Torrevieja;494
2020-04-01;Argelia;Torrevieja;30
2020-04-01;Marruecos;Torrevieja;49
2020-04-01;Colombia;Torrevieja;49
2020-04-01;China;Torrevieja;36
2020-05-01;Total;Torrevieja;4132
2020-05-01;Total Europa;Torrevieja;3870
2020-05-01;Total Unión Europea;Torrevieja;2339
2020-05-01;Total África;Torrevieja;82
2020-05-01;Total América;Torrevieja;114
2020-05-01;Total América del Norte;Torrevieja;33
2020-05-01;Total Sudamérica;Torrevieja;80
2020-05-01;Total Asia;Torrevieja;66
2020-05-01;Bélgica;Torrevieja;377
2020-05-01;Bulgaria;Torrevieja;34
2020-05-01;Finlandia;Torrevieja;213
