cod_municipio;cod_provincia;cp;direccion;dormit_totales;estudio;fecha_alta;habdoble;habindi;municipio;nombre;numplazasdoble;numplazasindi;plazas_totales;provincia;ref_catastral;rural;signatura;superficie;web
133;3;3180.0;CL TOMILLO DEL, 20, Es:1 Pl:04 Pt:09;2;N;22/03/2024;2.0;0.0;TORREVIEJA;Vivienda 506797-A;4;0;4;ALICANTE/ALACANT;3466613YH0036N0056AE;N;CV-VUT0506797-A;67.00;
133;3;3180.0;CL TOMILLO DEL, 20, Es:1 Pl:04 Pt:10;1;N;01/02/2023;1.0;0.0;TORREVIEJA;Vivienda 494811-A;2;0;2;ALICANTE/ALACANT;3466613YH0036N0057SR;N;CV-VUT0494811-A;49.00;
133;3;3180.0;CL TOMILLO DEL, 33, Es:3 Pl:02 Pt:06;2;N;26/12/2019;2.0;0.0;TORREVIEJA;Vivienda 480433-A;4;0;4;ALICANTE/ALACANT;3767516YH0036N0537JT;N;CV-VUT0480433-A;65.00;
133;3;3180.0;CL TOMILLO DEL, 33, Es:3 Pl:02 Pt:13;2;N;08/04/2019;2.0;0.0;TORREVIEJA;Vivienda 475039-A;4;0;4;ALICANTE/ALACANT;3767516YH0036N0544ZO;N;CV-VUT0475039-A;67.00;
133;3;3180.0;CL TOMILLO DEL, 33, Es:3 Pl:03 Pt:15;1;N;07/01/2025;1.0;0.0;TORREVIEJA;Vivienda 513608-A;2;0;2;ALICANTE/ALACANT;3767516YH0036N0562PZ;N;CV-VUT0513608-A;46.00;
133;3;3180.0;CL TOMILLO DEL, 33, Es:3 Pl:04 Pt:04;1;N;24/11/2023;1.0;0.0;TORREVIEJA;Vivienda 503423-A;2;0;2;ALICANTE/ALACANT;3767516YH0036N0567GE;N;CV-VUT0503423-A;54.00;
133;3;3180.0;CL TOMILLO DEL, 34, Bloque:1 Es:1 Pl:01 Pt:05;0;S;24/04/2025;0.0;0.0;TORREVIEJA;La Casa Tomillo;0;0;2;ALICANTE/ALACANT;3767704YH0036N0010MG;N;CV-VUT0516131-A;46.00;
133;3;3180.0;CL TOMILLO DEL, 34, Bloque:1 Es:1 Pl:02 Pt:02;1;N;22/09/2022;1.0;0.0;TORREVIEJA;Vivienda 492375-A;2;0;2;ALICANTE/ALACANT;3767704YH0036N0014RL;N;CV-VUT0492375-A;36.00;
133;3;3180.0;CL TOMILLO DEL, 34, Bloque:1 Es:1 Pl:03 Pt:02;0;N;13/06/2023;;;TORREVIEJA;Vivienda 499216-A;0;0;0;ALICANTE/ALACANT;3767704YH0036N0021IM;N;CV-VUT0499216-A;36.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:01 Pt:03;2;N;22/01/2021;2.0;0.0;TORREVIEJA;Vivienda 484763-A;4;0;4;ALICANTE/ALACANT;2555802YH0025N0004PF;N;CV-VUT0484763-A;47.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:01 Pt:04;2;N;15/05/2023;1.0;1.0;TORREVIEJA;Vivienda 498099-A;2;1;3;ALICANTE/ALACANT;2555802YH0025N0005AG;N;CV-VUT0498099-A;60.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:01 Pt:05;1;N;24/02/2022;1.0;0.0;TORREVIEJA;Vivienda 488746-A;2;0;2;ALICANTE/ALACANT;2555802YH0025N0006SH;N;CV-VUT0488746-A;63.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:03 Pt:04;2;N;12/06/2023;2.0;0.0;TORREVIEJA;Vivienda 499090-A;4;0;4;ALICANTE/ALACANT;2555802YH0025N0019XE;N;CV-VUT0499090-A;60.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:03 Pt:06;1;N;11/10/2024;1.0;0.0;TORREVIEJA;Vivienda 512077-A;2;0;2;ALICANTE/ALACANT;2555802YH0025N0021ZW;N;CV-VUT0512077-A;45.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:04 Pt:03;1;N;18/11/2022;1.0;0.0;TORREVIEJA;Vivienda 493464-A;2;0;2;ALICANTE/ALACANT;2555802YH0025N0025WY;N;CV-VUT0493464-A;47.00;
133;3;3180.0;CL TORREAGUERA, 1, Es:1 Pl:05 Pt:01;3;N;11/03/2024;3.0;0.0;TORREVIEJA;Vivienda 506453-A;6;0;6;ALICANTE/ALACANT;2555802YH0025N0030RI;N;CV-VUT0506453-A;79.00;
133;3;3180.0;CL TORREAGUERA, 2, Es:1 Pl:02 Pt:D;1;N;06/09/2022;1.0;0.0;TORREVIEJA;Vivienda 492097-A;2;0;2;ALICANTE/ALACANT;2555910YH0025N0007HJ;N;CV-VUT0492097-A;47.00;
133;3;3180.0;CL TORREAGUERA, 2, Es:1 Pl:04 Pt:D;1;N;30/05/2024;1.0;0.0;TORREVIEJA;Vivienda 508714-A;2;0;2;ALICANTE/ALACANT;2555910YH0025N0013LB;N;CV-VUT0508714-A;47.00;
133;3;3180.0;CL TORREAGUERA, 6, Es:B Pl:+1 Pt:14;2;N;28/10/2024;2.0;0.0;TORREVIEJA;Vivienda 512434-A;4;0;4;ALICANTE/ALACANT;2456701YH0025N0080HB;N;CV-VUT0512434-A;59.00;
133;3;3180.0;CL TORREAGUERA, 6, Es:B Pl:01 Pt:07;3;N;06/11/2023;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;2456701YH0025N0009GL;N;CV-VUT0502839-A;63.00;
133;3;3180.0;CL TORREAGUERA, 6, Es:B Pl:01 Pt:11;2;N;09/01/2018;2.0;0.0;TORREVIEJA;Vivienda 462419-A;4;0;4;ALICANTE/ALACANT;2456701YH0025N0013HB;N;CV-VUT0462419-A;63.00;
133;3;3180.0;CL TORREAGUERA, 6, Es:B Pl:04 Pt:08;1;N;08/05/2023;1.0;0.0;TORREVIEJA;Vivienda 497696-A;2;0;2;ALICANTE/ALACANT;2456701YH0025N0058EU;N;CV-VUT0497696-A;44.00;
133;3;3180.0;CL TORRESAL, 12, Es:1 Pl:03 Pt:01;2;N;10/07/2023;2.0;0.0;TORREVIEJA;Vivienda 500430-A;4;0;4;ALICANTE/ALACANT;3365807YH0036N0007UG;N;CV-VUT0500430-A;76.00;
133;3;3180.0;CL TORRESAL, 26, Es:2 Pl:00 Pt:05;3;N;25/09/2024;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;3465604XH0036N0006OQ;N;CV-VUT0511696-A;91.00;
133;3;3180.0;CL TORRESAL, 26, Es:2 Pl:02 Pt:12;2;N;09/08/2023;2.0;0.0;TORREVIEJA;Vivienda 500766-A;4;0;4;ALICANTE/ALACANT;3465604XH0036N0042PW;N;CV-VUT0500766-A;60.00;
133;3;3180.0;CL TORRESAL, 26, Es:2 Pl:03 Pt:04;2;N;04/12/2023;2.0;0.0;TORREVIEJA;Vivienda 503636-A;4;0;4;ALICANTE/ALACANT;3465604XH0036N0049JO;N;CV-VUT0503636-A;65.00;
133;3;3180.0;CL TORRESAL, 26, Es:2 Pl:03 Pt:05;0;S;17/05/2022;0.0;0.0;TORREVIEJA;;0;0;2;ALICANTE/ALACANT;3465604XH0036N0050GU;N;CV-VUT0490046-A;91.00;
133;3;3180.0;CL TORRESAL, 8, Pl:04 Pt:03;1;N;06/11/2024;1.0;0.0;TORREVIEJA;Vivienda 512575-A;2;0;2;ALICANTE/ALACANT;3365827YH0036N0020WX;N;CV-VUT0512575-A;58.00;
133;3;3180.0;CL TORRESAL, 8, Pl:05 Pt:03;1;N;14/11/2023;1.0;0.0;TORREVIEJA;Vivienda 503073-A;2;0;2;ALICANTE/ALACANT;3365827YH0036N0024YE;N;CV-VUT0503073-A;46.00;
133;3;3180.0;CL TORREVEJENSES AUSENTES, 13, Es:1 Pl:01 Pt:B;2;N;02/01/2025;2.0;0.0;TORREVIEJA;Vivienda 513586-A;4;0;4;ALICANTE/ALACANT;3959717YH0035N0005QL;N;CV-VUT0513586-A;104.00;
133;3;3180.0;CL TORRIJA, 11, Es:T Pl:OD Pt:OS;3;N;05/03/2025;3.0;0.0;TORREVIEJA;CASA WIKLUND;6;0;6;ALICANTE/ALACANT;2008217YH0120N0001JM;N;CV-VUT0514658-A;205.00;
133;3;3180.0;CL TORRIJA, 7, Es:T Pl:OD Pt:OS;3;N;25/10/2023;3.0;0.0;TORREVIEJA;Vivienda 502650-A;6;0;6;ALICANTE/ALACANT;2008219YH0120N0001SM;N;CV-VUT0502650-A;98.00;
133;3;3180.0;CL TURIA, 7, Es:T Pl:OD Pt:OS;2;N;10/04/2020;2.0;0.0;TORREVIEJA;Vivienda 481770-A;4;0;4;ALICANTE/ALACANT;5477106YH0057N0001RA;N;CV-VUT0481770-A;46.00;
133;3;3180.0;CL ULISES, 4, Es:2 Pl:00 Pt:20;3;N;15/06/2021;2.0;1.0;TORREVIEJA;Vivienda 486568-A;4;1;5;ALICANTE/ALACANT;5697207YH0059N0007IT;N;CV-VUT0486568-A;90.00;
133;3;3180.0;CL ULISES, 4, Es:3 Pl:00 Pt:36;3;N;14/05/2020;3.0;0.0;TORREVIEJA;Vivienda 481959-A;6;0;6;ALICANTE/ALACANT;5697207YH0059N0024LH;N;CV-VUT0481959-A;107.00;
133;3;3180.0;CL ULISES, 4, Es:7 Pl:01 Pt:80;2;N;22/04/2021;2.0;0.0;TORREVIEJA;Vivienda 485746-A;4;0;4;ALICANTE/ALACANT;5697207YH0059N0034EM;N;CV-VUT0485746-A;62.00;
133;3;3180.0;CL ULISES, 4, Es:7 Pl:01 Pt:90;2;N;05/03/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;5697207YH0059N0044PU;N;CV-VUT0514676-A;62.00;
133;3;3180.0;CL ULISES, 4, Es:8 Pl:00 Pt:91;1;N;22/03/2017;1.0;0.0;TORREVIEJA;Vivienda 453809-A;2;0;2;ALICANTE/ALACANT;5697207YH0059N0045AI;N;CV-VUT0453809-A;56.00;
133;3;3180.0;CL ULISES, 4, Es:8 Pl:00 Pt:99;3;N;12/04/2019;3.0;0.0;TORREVIEJA;Vivienda 475212-A;6;0;6;ALICANTE/ALACANT;5697207YH0059N0053HD;N;CV-VUT0475212-A;90.00;
133;3;3180.0;CL ULISES, 4, Es:8 Pl:01 Pt:94;2;N;09/07/2019;2.0;0.0;TORREVIEJA;Vivienda 477391-A;4;0;4;ALICANTE/ALACANT;5697207YH0059N0048FA;N;CV-VUT0477391-A;62.00;
133;3;3180.0;CL ULPIANO, 24, Es:1 Pl:03 Pt:B;3;N;23/06/2023;3.0;0.0;TORREVIEJA;Vivienda 499853-A;6;0;6;ALICANTE/ALACANT;4158501YH0045N0011BE;N;CV-VUT0499853-A;77.00;
133;3;3180.0;CL ULPIANO, 27, Es:T Pl:OD Pt:OS;2;N;19/02/2024;2.0;0.0;TORREVIEJA;Vivienda 505818-A;4;0;4;ALICANTE/ALACANT;4259418YH0045N0001JL;N;CV-VUT0505818-A;279.00;
133;3;3180.0;CL ULPIANO, 27, Es:T Pl:OD Pt:OS;2;N;21/11/2023;2.0;0.0;TORREVIEJA;Vivienda 503282-A;4;0;4;ALICANTE/ALACANT;4259418YH0045N0001JL;N;CV-VUT0503282-A;279.00;
133;3;3180.0;CL ULPIANO, 49, Pl:00 Pt:0B;3;N;11/08/2022;3.0;0.0;TORREVIEJA;Vivienda 491828-A;6;0;6;ALICANTE/ALACANT;4460820YH0046S0011TT;N;CV-VUT0491828-A;115.00;
133;3;3180.0;CL ULPIANO, 62, Es:1 Pl:+1 Pt:B;1;N;10/03/2023;1.0;0.0;TORREVIEJA;Vivienda 495940-A;2;0;2;ALICANTE/ALACANT;4359605YH0045N0027HH;N;CV-VUT0495940-A;53.00;
133;3;3180.0;CL ULPIANO, 7, Es:1 Pl:02 Pt:03;3;N;22/11/2016;3.0;0.0;TORREVIEJA;Vivienda 469738-A;6;0;6;ALICANTE/ALACANT;4059701YH0045N0028OJ;N;CV-VUT0469738-A;85.00;
133;3;3180.0;CL ULPIANO, 7, Es:1 Pl:02 Pt:05;2;N;04/08/2025;2.0;0.0;TORREVIEJA;DAIVA GUDIENE;4;0;4;ALICANTE/ALACANT;4059701YH0045N0030IH;N;CV-VUT0518001-A;65.00;
133;3;3180.0;CL ULPIANO, 7, Es:1 Pl:02 Pt:06;2;N;17/06/2024;2.0;0.0;TORREVIEJA;CASA ZALAN VERESS;4;0;4;ALICANTE/ALACANT;4059701YH0045N0031OJ;N;CV-VUT0509365-A;64.00;
133;3;3180.0;CL ULPIANO, 7, Es:1 Pl:02 Pt:07;2;N;29/03/2018;2.0;0.0;TORREVIEJA;Vivienda 465011-A;4;0;4;ALICANTE/ALACANT;4059701YH0045N0032PK;N;CV-VUT0465011-A;67.00;
133;3;3180.0;CL ULPIANO, 7, Es:1 Pl:03 Pt:05;2;N;05/04/2018;2.0;0.0;TORREVIEJA;Vivienda 465134-A;4;0;4;ALICANTE/ALACANT;4059701YH0045N0037GM;N;CV-VUT0465134-A;65.00;
133;3;3180.0;CL ULPIANO, 70A, Es:4 Pl:02 Pt:A;3;N;17/04/2025;2.0;1.0;TORREVIEJA;;4;1;5;ALICANTE/ALACANT;4459503YH0045N0040HM;N;CV-VUT0515985-A;109.00;
133;3;3180.0;CL ULPIANO, 70A, Es:4 Pl:02 Pt:B;2;N;05/08/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0041JQ;N;CV-VUT0518039-A;121.00;
133;3;3180.0;CL ULPIANO, 70A, Es:4 Pl:03 Pt:A;2;N;07/04/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0042KW;N;CV-VUT0515739-A;96.00;
133;3;3180.0;CL ULPIANO, 70A, Es:4 Pl:03 Pt:B;2;N;04/04/2025;2.0;0.0;TORREVIEJA;;4;0;4;ALICANTE/ALACANT;4459503YH0045N0043LE;N;CV-VUT0516020-A;113.00;
133;3;3180.0;CL ULPIANO, 70B, Es:3 Pl:00 Pt:A;3;N;07/04/2025;3.0;0.0;TORREVIEJA;;6;0;6;ALICANTE/ALACANT;4459503YH0045N0028PJ;N;CV-VUT0515741-A;140.00;
